old                                      new
00a31508213404f06cdc99ae6a1adde70b06c759 73e63e7033e03d88f3a0dc9cd9cdefbc97c0d289
03d03307d614413a79a698ae7fc63e986a9fa632 8342685a12cd6a45d0c02b10caaade045a6f50e8
04626485ce0f5b0c105163aaa0767cd62da633a8 1afb9cd0079f7f7457b01efd5c215a9870845b78
0650f8ea42cf9be5520eb34b88204b6ef7c4c3b2 0650f8ea42cf9be5520eb34b88204b6ef7c4c3b2
08bc8dd5ae97af4675d6a0cac28dbdc97398f4ef db5ecf3bc97c866aa00f0db11ce39dc2059e61a2
09ed13f1c6c96b66eb5b67a499c68913e1d90b13 66ad08cd545f011c4113ed3e3bc299afd969f92f
0b10fd1d64e89b3679117ce3053f4a0e16f6bd97 c908ad9a9d96496ac99f857932cb52a143fe773c
0f5c7ac03ff58ccd33de09164df5d4bb97c1ebca b6362506f2dc528a567b7e05b988761fb0fb4042
100c04acccef9bbc1a335aac1a2feeebc1a65f98 a1d52488a4fc79a562283fc35954f1d68c898f60
11d71f8cf3e3553e715b3ed50574755984dc88b6 888a2d45327b43a7d3f9d5f9398b5f28ffdf6150
12269151bc3bd5eefc98f80c5500c4473d4db2c1 ef1e3caa83ae51254b09321813d7ef869e565e65
1453ad739e703a262a582d658f11b7b580a291a7 e84b7c007dd471462d34bce3b99dcc6c675ee8c5
151f2555b667e5cf824c23b0a64fe28bdb691ddf 070691c1b73a5816d8121f5e5fa435929b25b144
1880d5223afb9b33a0058f77d08b8220caf0a57f 6b4213c1dcb9850f5bafffdeb52b286ee1357966
1a252b7a19152e659db8b212594aa27697fe0dd8 295c333ae7ed831544490990e5a65b3f8fb0a6bf
1acfa6d480bb385f1f49e58c4d552992c22c37b7 35f8c2233f3d22f43d7a6aa6bc31c5c439f30791
1bd2753cea9324d17abd00f5820be7f784a308f6 cf5f0d8d8a646b8c00f1cb675574c65d70e1a454
1cbd5e0c0517d7ccf9f3f474b5e39bf05fb55654 efb67a1beb15579c6902a41a7b6bd4c41b5bfe8a
1f17d005a0e316e705589964ed187b029dcd5031 07b500f67690bff9bdda5510a2baa6186265dec8
20161ae139ee0c3421fd9b3e10621d06935cae57 c097f728d867fe2176f68f6a616af22558fdf4e3
220f6dde280b56b237a7ae073622af8198710ba7 d818d4d52642cdab3cb9c67c90b1dd3e18ae31d3
227d9fbbca482616431c94f4aabb60d0cc22b3a2 5e0f71d4c238e94ee273a10d30434829dd627f84
254ad59598b3f2387276c8d50fc36d9098adf452 a60d0debcf268f08269033dd5533b7ab757328dc
259023a52bb67afe588d23620848d5c3e8c440c0 76a619e8a7792f7eb7136013633292d100d4ad50
264e4955cee07971e0a402e892d46c94f11babd9 85b1b5ea0064780d893d3e28d1311d201a9b0afa
27bf5311ca14848ac8e1d118af0f652679ac927a 35767a5a870248af599294bed32fd288804fe996
28c79d24bd046c60ee8914560d9c3e3065572bfb 3a1d125fe62019a3800949c23a32d90b5323f917
2a3f8e5d373312cf31f893780258657a235facac 81098fe49e94233d875644f9c092c7d240177911
2ddc2e67df4daa7afabd0814f72e5b90ea1ffef9 63ef24d39be58da4eaacf1d3bcf639924bc3ca84
2e089551abc6f8692dcdcc00b99bbe7fc280e751 cd0ecedfa1afaf44d66f0e21b50f02c9fbbb3520
2ee977c4e0becc621e26366f9f0840d611f25283 b73a5b1d1d0ca15fc22290d561b7943191e2369e
2f9fa963182701eee754a6d19f2ab41b46872d54 0a72780cae7ab78be2f56d921192b6e89ada0056
3039dcee5899e75aba59d260a6a0133a04a49acf 6d278b239a6dd9521031d3b580aad3a989435204
311604e12234fd6ba3e1419ddffc6c5d399ec1ae 311604e12234fd6ba3e1419ddffc6c5d399ec1ae
3392d4303eda89d3764399d5811cd741b4e6f7f3 b11369ad6bae3f8e28f101fb72698a0f4062c5fa
33d9fdd0466a398bfffdacbdb91102e58531e657 f9ad7e884bced8cb46224521d36671670bd38fd9
3464ab4c7f98ef5ff65ea98e8e2166243cc24b08 8b8837e20bfb0e35f95dcae1140b40bf829b5d40
3848f2403e839027abb60220deeb338f7921170e 7ae975be29003a67ced8e047075727957b0c2884
387f375ddb976666e83326a769e2c5316b9bcfc1 b6a8edc76fd920f690282d9b639f7b6aa11e8acf
3a33459a354d2c2da33953742bd69c6077bb07aa 47f4173d483f162fe219f6b54ec8551aa9aa9eac
3aaadea4c5b2104d94cf0c61544df8f31ab43185 5304646b0446ad40e770b57c84918ee9aa50960c
3abf3a4bffcd4ff8b9bd8f96b15472822f811ea4 3da8d71bbd40ab7def3fedb6ceefa3df12106a73
3ad46ef08d203dda29e2002c913699cdc4cd3ecc 0e14a7b93e7fc6ae6918e3d2ab9dc4f5e428d289
3d3a3416d2d3e971305d53b4530adb8db1cd7881 ca4fb73cef383039b96428c2ea465efbb39c89e3
3f9b717dc16169afd3350c88acf2e252e542bcba a2795af77f49aaa60c74c486c8e80a8c1124ff6c
3fc202c6b412e5f1e915362fc7b6b936f0c3d611 9b2da31d6522a34274039cb417e78112a7104000
40070ba0b88543ad013ea72d009e4e62f9ab251f f58e15d827f10b26de152de7297a192104386139
41b2a3bf67113dd9d9219a8d54ed6074f8e28db8 e5c854fa3722d0340df1f73290d18be5d2aba9a0
434791ffca77fd67481d1d8f2341bda7d2e980c8 434791ffca77fd67481d1d8f2341bda7d2e980c8
43f6679471507139f6bbf9151b3c5d53e4333935 733d3ff1244c889dd8361ad26bed5afdbdc9c898
441c073fa6f5e63676ea3fee0b4db5c65cd35f98 c9916c902edf82a2990da0444b6ca3a3e2e85ffb
46a5a62733dbc818b8b3848d588d58e03a6e38af 03689bbd6e61cc8550f37a524ce2bdece057913d
47cebbe94124930cd83fb828aa1e562d2ad14302 828ea0577d5a4544f72f76cb73dd1ff94d0797e8
4813939c627026abd08f677af98da208ae13a7c3 87ddff8e4b794f4025f4ea8f0458428c751815f4
4896b105ff3231a4d13394af95323c220f9bae69 d17227f2a315ad2596b78c158d520e588cfe7dc0
4b6d42ed92bf7ed68cb6deee722b3005c0c58048 4b3d509a700f0b58f94c615dc2a58b32cf582884
4e5c20a64d44c8a8e9c53755056d011e94cb4d8e 674ab518db837c81a33e6d1ccc78266db6412998
4ed945ccfec917d1d3146f69dcb92daa3ef5f793 6441db8263a8476f25fa032b9de7a2a9140a1789
503a6294949bcc7761bfd66d90af60dba2c4308f 0265e3730913c312b2c1aa8ded7a3ffe90aba887
50d0cee526ab7b18e813448801f58c442c66cfee 40d2ff3662e8ec8dce53525519178d78721d1f28
50f2b13b73c39d46859d409a9cef7eff163c6c59 f869f00e70fcf9d42a8bab8fd1d73428fa0a539b
522de678012219c804cc40113aac83a3dd4db21e f5c8ad41cec1a998a52a572f16837f12dcc36953
536845d7dcdb71aa5110b816239810f69b8035bb 814700c1009ca20e578cffc058e6edaf0a0ded36
5390121e94ea04fa7674882985c5b447a8eaaa3e e0ca6876ad66be33a84633e735c929dd200565af
540074ef8208605d128165273f2df1717fcb0ba4 8d7b0143be833a90533b256ad157b9dccdf91a43
55d53997397eb5427c0f41d06b891f389322cfea fd2bfea20e1d4f8d41028659e9883f33a6f0026f
5646d5b415e3f11376e4e2dec129eca7fc611fe8 0a649096795cbc8cb19db7a566479e30bb8e3ef9
58021566386735f12b0c4ce71e82632578564f51 0000000000000000000000000000000000000000
597f3778f30d90990669d23f8acc4e3affa0c0cc f9af140b9208cc4d1f657f64c2eb9e8d15ff5a7a
5c6210202efd4167a281af5ce8633f09ff93057c 9217117d5c42df5dd1ff4b119f001289732ba545
5cb9ee6672dd995c074ce5181614acf609c1308d 6dd06083d3f58171d3b3cb24b3b977c60133a877
5dc153736fb6c218608b672d8eefc6aacea7a696 258868df47f75da1803a0ef86dc824dd47dae512
5f15a80d4b76078abd873e89fae03c77ac801a1d f5e1347cbf626000164b404c15bab80696ebd4b3
61a5ad0ba38662414fa428fc2f67d44e88ed1059 ac2bb01ed0bbebbd997fbc11f3eee5034695840e
623cbf6a9ba47bc2c1be974fb0880d3529af5f60 bc8eca8b4cb89bc1437311b9c8ab1fc9700e0f59
693858e48ee9ef8905274f4fe159953286a355bd d72097694b1fb79cde8959a717cbb0d1ca2eccbe
69aca64c0655f52651fc1e8c84bda76de6064f0e bb1070db2d148bda6a0f6a15d281a29a5af3fd39
6a097f838a2a085125ca811033ab8790ec1b6191 0d7cd18f1b4a0c4be14a15cc861346fb0b79a724
6a9283416427bfc712dbb7d547374ae0e3b865ce 89c74b0adda01d6a2534d423d51bc7958d8c7dcf
6aa20d33dbc8db37c913911c6e77771561fb147d aca0634775ceace86146dbc05f4de5c629fa01f2
6c153d81b7601d03187e1d3670fe3844eae8e1ea ee48c4f9c3adac69ab50b885d2ce132be1aaa8c2
6ed410cde837dc773df5087cc694cc6b164f8b19 cb974737f17ed02d9eacadebdf82545a2471c679
7220bf753d84dbea56fc71099d22b2b3139805e1 79987e11451fcf511c0d4eb30265b8462bb2185a
727192909072b75aa5003bf77f3478c22d21cb4d 9c49ac5c99cddb92f9d08513fd4a6d8f5edae73b
749bf3748805d3b382a559fa49492c9ef731a43c 648492e1425b51c270889d6e7b0228ffb090caf9
78327b8a994d4248487686f876628219ea873acc 2984a907422d0b7b4690897067c199902b13764f
78446ea521f8bd3cc31f63ce62368fca619cca9d 2449e8dd9d83e4f7812017fe2fd54f19636082ca
791be69618c811dbedae6b89d369775745b6e183 78419dba5abb8ac75bb8c879932a2941e762da72
79b2b09ff420b8556910c1c8aeffc9b45d327548 b98ea159e21027c8b2de19b6289104b2f1cee81a
79d2863ac54ccb2dccb7c017e39e6165825e3f45 6d40d3a1e9352445df93499d33c384cb82208848
7b7aa23dd84fc218fbbc86907a479535f2fe1f5b ac99f51503410cfd00c15dddb8a6f448f54694ea
7d557b10c1488a4b9da43d299328c4b27fc1096e 238326f00bffba616b56c32547683645664c4473
7daaa81b0b673235e9b70538d522e9ae7ab842e0 48177c75c00e136f490acdc4d9a5b8dbe79a6178
7ebb0991ffc8198aa6810f0529f5c12b4eef4731 c838fc8383f56df42cc7cbbd80ba80d5aea6081f
83ef9f8123c75c17b54525563d34a30a5b92ff33 425f629e18d42f6ca63aa709a215c6f3c2f9aee3
87de802475d6b2d293b6dd5a935cff757cd82879 3eb8e3a4c1a6b3aa881bfed3436bc4d3d6d8e866
8a2dd4921b58d7e70c8f62dad22d37b550d8da50 03fa8f896a7350f0611d5a5e1882ef69635b87e6
8a4cb255fbed8d2eccb54446cbb7c8a483d16c94 d5154b2f13876950c0800c5bd261f156f78db821
8d4f60990f6f5429326c8ede7ab178aae7bea169 533740b2ddbf2276d3047c7992f385b219465e3e
8d96329523a37e94797127f61c04eb14386e040d 8ac9ffef58f398875e1573117ca32b8eeaf91001
909edb99597aa0be1b443f1cd6666974f382d708 4af3fdfb49466f08b7227dddba93c3f4957022d5
90abfe1c741f7843918a2970cbbd5a7290d2c46b 21db2016297111d96e213ff0b55bbe8ea7af0c50
9457eddfc95fff31bc28e6a5cfdfdd094f0008ed 73775bbcc4a79120521f324118bbc107748093d0
96ec7a3d14ef8eade09cbb45639f799c160d7026 17d8092b9075badbaf91181b88fc9e78a9a8edc9
96f95bd778f647463a4d527909ce2d24f0419e67 8cd4af4988a2b29938648695cf28a2c923cb51d9
978be683d12397833e597ffe5e6616205b8925c2 fe6a201e9f0d79639321b38c5766180dba467662
97e0f7cc5195082a710f5d2d2291a57e90a528a2 9f123ed08944367bc88ea0d536d911e69b237213
9847c41700241544b01c3757698e5f0c7b6592d8 56eaa653a1aeadbc6c716c9a1866af94ebbe6507
9ad8ab435f01c96a505f12b377ea2dd794d25966 7c19a1e31c2ce99cfbcf48cb5d3ff5d16093d431
9ae990c50370ec9488952048b57e95b98a9aae0b 603d22697dbcca17877fafcfab0713a4b374ea03
9c862c6d48cef85fb4e3436d75a967048bcaa02e 25b62901eed220d2bbf973fe5a6ce727c1b576ac
9d073d1e97fb8a3aa4a681ff3434ac91203a8a54 ad44d498637bd11306e8f08c24325aef5a0b6904
9d20274695a3e355b802dc4365d0a8d3c70bf4f0 96206e791ecc54fcc60e2858d3fd0b821d702cda
9d92bc9fc49d7251f7992965e04d199cfc1f369e a4967499de0a61e9cde38c9168dfccbec79a7aac
9e4c10958c6712f2ea54e3b49fe11721eb338f81 7f39aca00ed139fb2ecf3fa1ba656fb4d9e27664
9f1e47b84d4e175e739f1f611ab3106343b64f5b 423ccbd4055ee4a6902205e99dbbc01b3def0d5a
a36c3f32e7c91abdd0f96117b58fc4b07836b19e b91c788e21690279c329a64055ff26edaf818f3a
a38713f4b4f43c504ff8f27a9280b44b33b3f595 38287dad7024261c7db84efa6ba968f0ced78d63
a3c8dc85978ac4f8bfa15fb1c84b630bcbb3d94e 96c4684d541c1960b8a03f910390a9abcea3b903
a50ce672c0ca5e254bf1d1532710e7fa59a46e77 d28852aca82b1506b6acf75f93f20e5c85c50db5
a550f934887ae39dd53edc19cba1dabdfc4c3590 fc74ed4d6976d46dac4009a9ff52546f7399debc
a84dc814d4904942c833b431da30cdec254ffb8e adb6a089e177ff90d704b268f6c6d110cdbf9923
ab55f2ca0b81b7219c9a83d3453ff568cae157a8 05c8a8fb774c4f0a7b4f75d29ba4bb29f583877c
acfd303777522805a3123248280f406436a9a416 366b670414cc567ab38241bb08f3789277d46399
ad94ee0b978a8f9a2acbb70caceac682fae516df a3d32925c1dc59ab9bbef15b7c1264b7ede0bff6
ae5be97381ee8b04a83ec890fd3602cc46c68775 cf9f2fccb1d325b18e5c932376d9f30ceb1bb37a
b10fcb1d937e94e4ebf1bdd0a58877f700a28f20 0000000000000000000000000000000000000000
b19067dc6d393f3a08fd318dfb2a06c6ff170139 baedd5de042dd821622a0df745b189f55c68945b
b4535cd714ec686e7dca5ca2a1ff7156aef4faa0 b4535cd714ec686e7dca5ca2a1ff7156aef4faa0
b46d4105cc491c64fdd428305d9d934ad81141fe d978a9bfaf893ddb6fff3b567d638587918fa9cd
b53754b989c5e420302d01829c0c59914faa5315 c94a6658cd478300a179ab53923db6a04c4af209
b639c6104ffb3f0d588a969deecabcd94bbe82c0 735bde1393a8d4eeed1693935c0e294c4303b494
b9fdbf959c108429433438c134672f7aa1ce68ff dbf9c633c0df3c7543f11dc66b9a0bf397d0386f
bc0e14094eac905c416662db41198bbe0ead8633 b747309507d717c9c2b698b379e3ac73f795b2c3
bc3021ab6bd62aeafe54c20cd8614ee11ac7f081 4e98a766aaae11f11b09399f86c525bf5512a9fa
be9b1ebd449d0571b436629732cbe5067cecd935 4e6e50e3cfc4d1e59d25d2cedc2d14cc8af737b7
bedfed3a4ac3e7d67004ce3b8bc5ae63d61c9ed2 9c5fee99117b2cf39b2fd3c652b021aaf5ab8eac
bf79e43b18d9e8f049b9833f574fa2a8f4e5f741 92ae161fc8cf12d599713b50a5c30301ea30525b
