epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.55096,2.1851,3.97871,1.41895,0.40282,0.40056,0.35772,0.22819,1.34378,2.153,1.06347,0.000153,0.000153,0.000153
2,6.94022,1.22803,1.30085,0.96988,0.60572,0.76945,0.72131,0.49451,1.1108,1.19767,0.9697,0.000310638,0.000310638,0.000310638
3,10.4679,1.12096,0.94174,0.94209,0.81146,0.87489,0.89693,0.64188,1.04539,0.87352,0.95599,0.000467229,0.000467229,0.000467229
4,14.0131,1.09282,0.78558,0.94012,0.82288,0.87012,0.92132,0.61117,1.20357,0.8021,0.98507,0.000471288,0.000471288,0.000471288
5,17.4222,1.06818,0.70818,0.93252,0.87579,0.91321,0.93702,0.62445,1.27008,0.69711,1.0256,0.000469717,0.000469717,0.000469717
6,20.7005,1.05966,0.66832,0.92412,0.91472,0.91279,0.96193,0.70712,0.99887,0.64649,0.9301,0.000468146,0.000468146,0.000468146
7,23.8992,1.03562,0.61704,0.92037,0.9292,0.95897,0.97268,0.72062,0.98577,0.54675,0.9198,0.000466575,0.000466575,0.000466575
8,27.1747,1.01385,0.59881,0.91068,0.94485,0.9557,0.97358,0.7111,0.99951,0.5209,0.92124,0.000465004,0.000465004,0.000465004
9,30.2261,1.01282,0.57583,0.91262,0.96136,0.95762,0.97999,0.72495,0.96565,0.50258,0.92565,0.000463434,0.000463434,0.000463434
10,33.5012,1.01835,0.56962,0.91735,0.95977,0.97169,0.983,0.74232,0.94148,0.47464,0.91366,0.000461863,0.000461863,0.000461863
11,36.7996,0.9914,0.54872,0.91099,0.93191,0.96418,0.97739,0.7251,0.97563,0.51492,0.92464,0.000460292,0.000460292,0.000460292
12,40.0216,0.96766,0.54143,0.90199,0.94807,0.9475,0.97265,0.69642,1.02261,0.51487,0.92768,0.000458721,0.000458721,0.000458721
13,43.172,0.96044,0.52361,0.90476,0.92479,0.95257,0.97091,0.71652,1.00028,0.50932,0.92301,0.00045715,0.00045715,0.00045715
14,46.6175,0.97326,0.51821,0.91068,0.95474,0.96098,0.97999,0.7093,1.03491,0.49276,0.94165,0.00045558,0.00045558,0.00045558
15,49.6702,0.95161,0.5118,0.89737,0.96497,0.96307,0.97905,0.73564,0.95504,0.45376,0.91354,0.000454009,0.000454009,0.000454009
16,52.7049,0.96225,0.50045,0.90078,0.96822,0.97375,0.98069,0.74472,0.92281,0.43805,0.91258,0.000452438,0.000452438,0.000452438
