label,run_dir,git_sha,config_hash,n_images,wires_method,stitch_masked_gaps,handle_crossovers,snapping_strategy,terminal_pair_f1,terminal_pair_f1_ci95_lo,terminal_pair_f1_ci95_hi,net_f1,net_f1_ci95_lo,net_f1_ci95_hi,per_component_connected_acc,per_component_connected_acc_ci95_lo,per_component_connected_acc_ci95_hi,nged,nged_ci95_lo,nged_ci95_hi,strict_success,strict_success_ci95_lo,strict_success_ci95_hi,solvable_before_rate,solvable_after_rate,mean_assumptions,mean_gauge,spice_valid_rate
v1_classical_directional,results/ablations_1024/canny_mk4,fff38495,5fba8a6afd40,190,canny,False,False,directional,0.217,0.1888,0.2456,0.4618,0.438,0.4867,0.0408,0.0215,0.0637,0.3833,0.3691,0.3967,0.0,0.0,0.0,0.4211,0.7579,5.1842,1.7,0.9579
v2_ink_boundary_snap,results/ablations_1024/abl_ink_boundary_v2,3039dcee,1595e5f1a30c,190,ink,False,False,boundary,0.451,0.4141,0.4863,0.6342,0.6048,0.6611,0.174,0.1402,0.2095,0.338,0.3221,0.3537,0.0368,0.0105,0.0684,0.4158,0.7105,3.9526,1.7,0.9737
v3_plus_stitching,results/ablations_1024/abl_stitch_v2,3039dcee,dcdc74729aa7,190,ink,True,False,boundary,0.4954,0.4569,0.5313,0.6622,0.631,0.6909,0.2278,0.1868,0.2701,0.3166,0.2987,0.3348,0.0789,0.0421,0.1211,0.4368,0.7368,3.8211,1.7,0.9737
v4_plus_crossover,results/ablations_1024/abl_crossover_v2,3039dcee,dfd8e51c96c5,190,ink,True,True,boundary,0.5268,0.4892,0.5615,0.6933,0.6649,0.7189,0.243,0.201,0.2849,0.3098,0.2917,0.3273,0.0842,0.0474,0.1211,0.4053,0.7158,3.7737,1.7,0.9842
v5_plus_crossover_DEFAULT,results/benchmark_1024/parity19,d3ecaa8f,9d5b33bb9061,190,ink,True,True,ports,0.7059,0.665,0.7461,0.8075,0.7776,0.835,0.5675,0.5141,0.627,0.2451,0.2218,0.2659,0.3579,0.2947,0.4316,0.5316,0.7474,2.6737,1.7,0.9895
v6_plus_bridge_span7,results/benchmark_1024/span7,2e089551,f14b97f586a6,190,ink,True,True,ports,0.7321,0.6932,0.771,0.8334,0.8083,0.8574,0.5733,0.5181,0.6353,0.2388,0.2155,0.2601,0.3632,0.2947,0.4368,0.5158,0.7684,2.7368,1.7,1.0
v7_plus_connectivity_repair,results/benchmark_1024/span7_cr,dae7c4b3,3cc5f617e35e,190,ink,True,True,ports,0.7426,0.7047,0.7779,0.8411,0.816,0.8642,0.5946,0.5392,0.6535,0.2372,0.2144,0.2576,0.3789,0.3105,0.4475,0.5158,0.7684,2.5895,1.7,1.0
v8_plus_snap_expand80,results/benchmark_1024/snapexp80,b53754b9,c4048845873b,190,ink,True,True,ports,0.7458,0.708,0.7809,0.8436,0.8194,0.866,0.6021,0.5466,0.6621,0.2375,0.2145,0.2578,0.3789,0.3105,0.4475,0.5211,0.7737,2.5579,1.7,1.0
v9_plus_blob_thresholds,results/sweeps_bench/wires_binarize/otsu,1453ad73,45040f06c22e,190,ink,True,True,ports,0.7669,0.7309,0.8049,0.8585,0.8348,0.8809,0.5482,0.4893,0.6069,0.2316,0.2087,0.2525,0.4158,0.3421,0.4895,0.5211,0.7737,2.4737,1.7,1.0
v10_plus_sauvola,results/sweeps_bench/wires_binarize/sauvola,1453ad73,1b58ff1c7444,190,ink,True,True,ports,0.7678,0.731,0.8049,0.8579,0.8339,0.8804,0.5573,0.4968,0.6141,0.2307,0.2081,0.2511,0.4263,0.3526,0.5,0.5263,0.7632,2.4263,1.7,1.0
v11_plus_class_head,results/benchmark_1024_final/seed0,c6b3d359,ed2d35f00365,190,ink,True,True,ports,0.7834,0.7484,0.8191,0.8675,0.8444,0.8908,0.5712,0.5143,0.6307,0.2306,0.2072,0.2516,0.4368,0.3632,0.5105,0.5316,0.7579,2.4316,1.7,1.0
