stem,stratum,seed,file,source_path,source_kind,sha256,bytes,n_multi_terminal_devices,pipeline_strict_failure
circuit_1048,uniform,20260804,circuit_1048.jpg,data/raw/circuit_1048.jpg,raw,f3f8622256fb3470f0077aa1112cd59359efc86f1c4e5cbd10c5742939352c84,186565,9,False
circuit_1059,hard_core,20260804,circuit_1059.jpg,data/raw/circuit_1059.jpg,raw,194ea7498389362dd4aac9c962291f4cc87f543239b43a77ec35b8ae04f4710e,219531,0,True
circuit_1080,uniform,20260804,circuit_1080.jpg,data/raw/circuit_1080.jpg,raw,ecd29c57e3e5e80102d0d84898c92cf74676ef60f45076620207bd4c00110dcd,139944,3,True
circuit_1156,uniform,20260804,circuit_1156.jpg,data/raw/circuit_1156.jpg,raw,907f14ddb79a7f168284c1401028e600fbdfae11054075d78c7ca6996341553c,187095,0,True
circuit_1175,multi_terminal,20260804,circuit_1175.jpg,data/raw/circuit_1175.jpg,raw,8cb49ec04a123c976515448142884bcc3ac3b8b28c4a8c00cbe7b24bffa44489,265106,6,True
circuit_1187,uniform,20260804,circuit_1187.jpg,data/raw/circuit_1187.jpg,raw,aa2fbb36310403918485c477aae7e42f8c26c23d002b06c7d02709e03fb9cfa3,183010,0,True
circuit_1238,uniform,20260804,circuit_1238.jpg,data/raw/circuit_1238.jpg,raw,fa7e3572785bc051f8c507c847862685e7db61ffede42df07667768035ad9073,197833,5,True
circuit_1240,hard_core,20260804,circuit_1240.jpg,data/raw/circuit_1240.jpg,raw,da44ae8f5101bdefc5dc58158c1899100cc255a738a9f546ba0c637802e4a387,252726,5,True
circuit_1247,uniform,20260804,circuit_1247.jpg,data/raw/circuit_1247.jpg,raw,5ad18818f4af31b69b84160487f28dc92e535202e2da652faa7ce2b3b29c8174,176912,9,False
circuit_1253,uniform,20260804,circuit_1253.jpg,data/raw/circuit_1253.jpg,raw,b74ee7992feb8e6705e20b049e9d14d7ab97b1b4f801dae253bef1675daab1ce,95462,0,False
circuit_1259,hard_core,20260804,circuit_1259.jpg,data/raw/circuit_1259.jpg,raw,d7fa85ee1571c87fd10906534652ae120a4b391f111fc61661a000adae6b5faa,111736,0,True
circuit_1264,multi_terminal,20260804,circuit_1264.jpg,data/raw/circuit_1264.jpg,raw,c4c4dd3999ae94d728cbdfe8922b6ddf2de62812f6617bcf5884dfb0cc1bf666,199865,6,True
circuit_140,multi_terminal,20260804,circuit_140.jpg,data/raw/circuit_140.jpg,raw,a3a10f3ace6216f96d2fd66c4a41aa4ae5907848667650db92cc8c93665af100,265575,9,True
