image,kept,area,width,height,extent,n_touched
circuit_1.jpg,1,229,64,34,64,1
circuit_1.jpg,1,1665,578,89,578,1
circuit_1.jpg,1,111,15,16,16,1
circuit_1.jpg,1,80,16,13,16,0
circuit_1.jpg,1,6555,651,448,651,0
circuit_1.jpg,1,1411,195,154,195,1
circuit_1.jpg,1,852,90,171,171,1
circuit_1.jpg,1,1066,60,240,240,1
circuit_1.jpg,1,624,81,126,126,1
circuit_1.jpg,1,4274,918,255,918,1
circuit_1.jpg,1,249,33,18,33,1
circuit_1.jpg,1,100,18,18,18,0
circuit_1.jpg,1,417,28,31,31,1
circuit_1016.jpg,1,1556,493,47,493,1
circuit_1016.jpg,1,145,45,18,45,1
circuit_1016.jpg,1,4597,624,274,624,1
circuit_1016.jpg,1,480,168,35,168,1
circuit_1016.jpg,1,411,91,64,91,1
circuit_1016.jpg,1,301,38,63,63,1
circuit_1016.jpg,1,517,74,99,99,1
circuit_1016.jpg,1,275,30,15,30,0
circuit_1016.jpg,1,428,33,22,33,0
circuit_1016.jpg,1,2919,827,99,827,1
circuit_1018.jpg,1,9756,1024,479,1024,1
circuit_1018.jpg,1,304,56,77,77,1
circuit_1018.jpg,1,580,212,43,212,1
circuit_1018.jpg,1,306,78,54,78,1
circuit_1018.jpg,1,2009,579,128,579,1
circuit_1074.jpg,1,442,50,112,112,1
circuit_1074.jpg,1,1049,229,114,229,1
circuit_1074.jpg,1,577,84,76,84,1
circuit_1074.jpg,1,1755,81,455,455,1
circuit_1074.jpg,1,411,46,84,84,1
circuit_1074.jpg,1,1466,93,382,382,1
circuit_1074.jpg,1,92,16,24,24,1
circuit_1074.jpg,1,592,49,179,179,1
circuit_1074.jpg,1,102,5,36,36,0
circuit_1074.jpg,1,345,51,88,88,1
circuit_1074.jpg,1,426,81,69,81,1
circuit_1074.jpg,1,396,42,22,42,0
circuit_1074.jpg,1,332,54,22,54,1
circuit_1074.jpg,0,59,9,18,18,0
circuit_1074.jpg,1,690,78,153,153,1
circuit_1074.jpg,0,71,17,14,17,0
circuit_1074.jpg,1,469,119,50,119,1
circuit_1074.jpg,1,760,86,108,108,1
circuit_1074.jpg,0,40,6,12,12,0
circuit_1074.jpg,1,420,81,61,81,1
circuit_1074.jpg,1,130,5,45,45,0
circuit_1074.jpg,1,89,8,27,27,1
circuit_1074.jpg,1,145,14,38,38,1
circuit_1076.jpg,1,815,160,127,160,1
circuit_1076.jpg,1,626,122,133,133,1
circuit_1076.jpg,1,433,62,81,81,1
circuit_1076.jpg,1,750,138,112,138,1
circuit_1076.jpg,1,170,30,44,44,1
circuit_1076.jpg,1,2126,158,479,479,1
circuit_1076.jpg,1,2370,182,443,443,1
circuit_1076.jpg,1,161,5,51,51,0
circuit_1076.jpg,0,31,6,7,7,0
circuit_1076.jpg,1,517,105,88,105,1
circuit_1076.jpg,1,742,132,113,132,1
circuit_1076.jpg,0,59,5,20,20,0
circuit_1076.jpg,1,789,200,99,200,1
circuit_1076.jpg,1,129,15,36,36,1
circuit_1076.jpg,1,173,29,41,41,1
circuit_1076.jpg,1,164,21,18,21,0
circuit_1076.jpg,1,114,5,41,41,0
circuit_1076.jpg,1,512,87,85,87,1
circuit_1076.jpg,1,789,167,110,167,1
circuit_1076.jpg,1,194,25,46,46,1
circuit_1077.jpg,1,7448,1024,461,1024,1
circuit_1077.jpg,1,487,73,105,105,1
circuit_1077.jpg,1,51,30,3,30,0
circuit_1077.jpg,1,2618,606,273,606,1
circuit_1077.jpg,1,161,17,30,30,1
circuit_1077.jpg,1,455,73,22,73,1
circuit_1077.jpg,1,476,105,106,106,1
circuit_1077.jpg,0,50,23,4,23,0
circuit_1077.jpg,1,555,226,3,226,0
circuit_1079.jpg,1,305,38,23,38,0
circuit_1079.jpg,1,163,92,15,92,3
circuit_1079.jpg,1,297,143,27,143,1
circuit_1079.jpg,1,79,63,3,63,1
circuit_1079.jpg,1,185,45,56,56,2
circuit_1079.jpg,1,89,89,1,89,1
circuit_1079.jpg,1,50,50,1,50,0
circuit_1079.jpg,1,60,60,1,60,1
circuit_1079.jpg,1,247,87,41,87,1
circuit_1079.jpg,1,223,72,62,72,1
circuit_1079.jpg,1,1804,259,336,336,1
circuit_1079.jpg,1,360,54,111,111,1
circuit_1079.jpg,1,490,227,77,227,1
circuit_1079.jpg,0,2,2,1,2,0
circuit_1079.jpg,1,125,35,37,37,2
circuit_1079.jpg,1,50,47,2,47,1
circuit_1079.jpg,1,514,37,163,163,1
circuit_1079.jpg,1,368,99,91,99,1
circuit_1079.jpg,1,338,11,133,133,1
circuit_1079.jpg,1,364,76,113,113,1
circuit_1079.jpg,1,1251,232,212,232,2
circuit_1079.jpg,1,244,17,91,91,1
circuit_1079.jpg,1,788,215,155,215,2
circuit_1079.jpg,1,513,46,28,46,0
circuit_1079.jpg,1,220,156,2,156,0
circuit_1079.jpg,1,186,35,53,53,1
circuit_1079.jpg,1,415,183,41,183,2
circuit_1079.jpg,1,571,219,60,219,2
circuit_1079.jpg,1,35,35,1,35,1
circuit_1079.jpg,1,72,67,2,67,2
circuit_1087.jpg,1,10250,1024,460,1024,1
circuit_1087.jpg,1,1726,151,265,265,1
circuit_1087.jpg,1,833,67,135,135,1
circuit_1087.jpg,0,48,18,3,18,0
circuit_1087.jpg,1,273,78,23,78,1
circuit_1087.jpg,1,1612,273,184,273,1
circuit_1087.jpg,1,366,80,49,80,1
circuit_1093.jpg,1,828,231,44,231,1
circuit_1093.jpg,1,866,264,44,264,1
circuit_1093.jpg,1,184,51,19,51,1
circuit_1093.jpg,1,146,34,21,34,0
circuit_1093.jpg,0,54,8,9,9,0
circuit_1093.jpg,1,1295,279,123,279,1
circuit_1093.jpg,1,1437,287,108,287,1
circuit_1093.jpg,1,788,109,133,133,0
circuit_1093.jpg,1,717,48,36,48,0
circuit_1093.jpg,1,473,57,33,57,1
circuit_1093.jpg,1,337,28,28,28,0
circuit_1093.jpg,1,3248,601,99,601,1
circuit_1093.jpg,1,315,55,64,64,1
circuit_1093.jpg,1,296,7,95,95,0
circuit_1094.jpg,1,11419,1024,480,1024,1
circuit_1094.jpg,1,1745,315,231,315,1
circuit_1094.jpg,1,1259,137,110,137,1
circuit_1094.jpg,1,195,24,28,28,0
circuit_1094.jpg,1,67,32,3,32,0
circuit_1094.jpg,1,659,56,126,126,1
circuit_1097.jpg,1,8737,1024,458,1024,1
circuit_1097.jpg,1,156,20,23,23,1
circuit_1097.jpg,1,429,124,45,124,1
circuit_1097.jpg,1,290,41,63,63,1
circuit_1097.jpg,0,52,20,4,20,0
circuit_1097.jpg,1,212,43,36,43,1
circuit_1097.jpg,1,501,64,106,106,1
circuit_1097.jpg,1,301,41,67,67,1
circuit_1097.jpg,1,508,79,83,83,0
circuit_1097.jpg,0,64,27,3,27,0
circuit_1111.jpg,1,904,188,128,188,1
circuit_1111.jpg,1,981,220,130,220,1
circuit_1111.jpg,1,628,141,86,141,1
circuit_1111.jpg,1,492,75,114,114,1
circuit_1111.jpg,1,1914,41,676,676,1
circuit_1111.jpg,1,157,24,40,40,1
circuit_1111.jpg,1,3277,406,630,630,1
circuit_1111.jpg,1,253,4,96,96,1
circuit_1111.jpg,1,285,48,73,73,1
circuit_1111.jpg,1,453,59,107,107,1
circuit_1111.jpg,1,849,170,132,170,1
circuit_1111.jpg,0,5,2,3,3,0
circuit_1111.jpg,1,156,37,31,37,1
circuit_1111.jpg,1,116,14,31,31,1
circuit_1111.jpg,1,179,7,68,68,1
circuit_1111.jpg,1,369,68,69,69,1
circuit_1111.jpg,1,443,77,84,84,1
circuit_1111.jpg,1,118,50,4,50,0
circuit_1111.jpg,1,156,23,43,43,1
circuit_1121.jpg,1,7540,1024,458,1024,1
circuit_1121.jpg,1,381,98,50,98,1
circuit_1121.jpg,1,386,50,87,87,1
circuit_1121.jpg,1,314,47,63,63,1
circuit_1121.jpg,0,53,4,16,16,0
circuit_1121.jpg,1,1815,439,114,439,1
