stem,drafter,drafter_id,cghd_circuit,cghd_drawing,cghd_picture,cghd_stem,n_components,n_terminals,n_cghd_junction_marks,n_cghd_crossover_marks,n_components_needing_class_call,stratum,cghd_image_member,cghd_annotation_member,source_sha256,frame,boxes_outside_canvas,photographs_tried,nets_annotated,ink_fraction,largest_component_fraction
cghd_d01_C2_D2_P3,drafter_1,1,2,2,3,C2_D2_P3,11,22,10,0,1,8-13,drafter_1/images/C2_D2_P3.jpg,drafter_1/annotations/C2_D2_P3.xml,43b0d8749a824eb6a1b22183ac60c0ad71b89ec8c197a4dad9d5964327b1aa93,1024,0,1,False,0.0325,0.00977
cghd_d01_C8_D2_P3,drafter_1,1,8,2,3,C8_D2_P3,11,24,14,2,4,8-13,drafter_1/images/C8_D2_P3.jpg,drafter_1/annotations/C8_D2_P3.xml,41263197cb0eff2e36cac1eb0a0d25e3c05db2e20bab08e35a0379e27b4b97e4,1024,0,1,False,0.01042,0.00739
cghd_d01_C9_D1_P1,drafter_1,1,9,1,1,C9_D1_P1,5,10,6,0,1,<=7,drafter_1/images/C9_D1_P1.jpg,drafter_1/annotations/C9_D1_P1.xml,9cb44eefa9c18a9af4094f5bdfdece519a09161e8855200ce285c4b9f9fd7b37,1024,0,1,False,0.01503,0.00234
cghd_d01_C11_D2_P1,drafter_1,1,11,2,1,C11_D2_P1,5,10,6,0,0,<=7,drafter_1/images/C11_D2_P1.jpg,drafter_1/annotations/C11_D2_P1.xml,f2dbf89a3c2ed3b2d8e01b9e21d4d82cd1037174c192f0e625d7c7626bd3c254,1024,0,1,False,0.0307,0.00463
cghd_d02_C21_D1_P2,drafter_2,2,21,1,2,C21_D1_P2,10,21,16,1,1,8-13,drafter_2/images/C21_D1_P2.jpg,drafter_2/annotations/C21_D1_P2.xml,3f1f7a360bb6c8467110cbeca8985d08a451c1f34a8dc755e739bdc150a804fc,1024,0,1,False,0.01702,0.00309
cghd_d02_C22_D1_P3,drafter_2,2,22,1,3,C22_D1_P3,10,21,13,1,5,8-13,drafter_2/images/C22_D1_P3.jpg,drafter_2/annotations/C22_D1_P3.xml,782c398e2ce1c51922c3d3f86771ccd9e82b0c1f00201b5282583543fb79fafe,1024,0,7,False,0.01596,0.0018
cghd_d03_C27_D1_P4,drafter_3,3,27,1,4,C27_D1_P4,15,26,6,0,2,14-19,drafter_3/images/C27_D1_P4.jpg,drafter_3/annotations/C27_D1_P4.xml,340f57e514cca6993e3ea555d45c48788df83de6123b1b3b1ba29ec5178a6625,1024,0,1,False,0.016,0.0061
cghd_d03_C33_D2_P4,drafter_3,3,33,2,4,C33_D2_P4,10,20,6,0,0,8-13,drafter_3/images/C33_D2_P4.jpg,drafter_3/annotations/C33_D2_P4.xml,403e5031b9ae648e2808f725ede1fafafb3447c42a933e10d79bae32f886e480,1024,0,1,False,0.01876,0.01226
cghd_d04_C37_D2_P4,drafter_4,4,37,2,4,C37_D2_P4,15,30,17,0,4,14-19,drafter_4/images/C37_D2_P4.jpg,drafter_4/annotations/C37_D2_P4.xml,14ed03ad78416e4276d82c3f0786bbbde3d4e1e94a3dd96f5c09845b8aa23420,1024,0,1,False,0.0278,0.02311
cghd_d05_C52_D2_P1,drafter_5,5,52,2,1,C52_D2_P1,7,14,7,0,1,<=7,drafter_5/images/C52_D2_P1.jpg,drafter_5/annotations/C52_D2_P1.xml,4e12af37e56a6fb9b1a06733e03f5d03b594f6be3ae0e2ca44634bb8ea70d2f3,1024,0,1,False,0.0399,0.009
cghd_d05_C55_D1_P1,drafter_5,5,55,1,1,C55_D1_P1,10,19,14,0,2,8-13,drafter_5/images/C55_D1_P1.jpg,drafter_5/annotations/C55_D1_P1.xml,e47ffa703f1d625c9b970700981afaf6cf5998e2511f31e1740fbd3072ed37af,1024,0,1,False,0.02888,0.01274
cghd_d05_C56_D1_P2,drafter_5,5,56,1,2,C56_D1_P2,7,17,17,0,2,<=7,drafter_5/images/C56_D1_P2.jpg,drafter_5/annotations/C56_D1_P2.xml,45818d840bb6fb3e34e10c02efc225f45afd7fc2fc4d7959d6aa5883964b1e10,1024,0,2,False,0.04161,0.01868
cghd_d05_C57_D2_P2,drafter_5,5,57,2,2,C57_D2_P2,8,18,12,2,2,8-13,drafter_5/images/C57_D2_P2.jpg,drafter_5/annotations/C57_D2_P2.xml,bb854651af3f68732df5081f580bbd33acab56a05f8d7e21c4335845130ccbc4,1024,0,5,False,0.04176,0.02207
cghd_d07_C73_D1_P1,drafter_7,7,73,1,1,C73_D1_P1,9,22,5,0,4,8-13,drafter_7/images/C73_D1_P1.jpg,drafter_7/annotations/C73_D1_P1.xml,fa201382b367f381537370a6ad8236bcc21b5c105a9b63c44a3157b3bc7953f1,1024,0,1,False,0.01045,0.00772
cghd_d07_C75_D2_P4,drafter_7,7,75,2,4,C75_D2_P4,11,26,12,1,4,8-13,drafter_7/images/C75_D2_P4.jpg,drafter_7/annotations/C75_D2_P4.xml,e0d79b6bab0f70bd0de64954e5df1fc5aa7b87345edef4dddbbc4f2be0206340,1024,0,1,False,0.01814,0.01313
cghd_d07_C81_D2_P2,drafter_7,7,81,2,2,C81_D2_P2,11,24,17,3,2,8-13,drafter_7/images/C81_D2_P2.jpg,drafter_7/annotations/C81_D2_P2.xml,f5d4d93ea72f7f9f9bcc80c00509ee460762bd0e637d552eaba19285cd261705,1024,0,1,False,0.02208,0.01212
cghd_d09_C98_D1_P4,drafter_9,9,98,1,4,C98_D1_P4,6,13,8,0,1,<=7,drafter_9/images/C98_D1_P4.jpg,drafter_9/annotations/C98_D1_P4.xml,272901445dcfe13af0b64e1c1228980301048657efad6903caa816740e04b995,1024,0,4,False,0.00767,0.0025
cghd_d09_C103_D1_P1,drafter_9,9,103,1,1,C103_D1_P1,7,16,6,0,2,<=7,drafter_9/images/C103_D1_P1.jpg,drafter_9/annotations/C103_D1_P1.xml,55e0c2b6c29fa026751a9dfe35ea3bda511042e3452f2f3e06535ea7ed300dc9,1024,0,2,False,0.00455,0.00099
cghd_d10_C112_D2_P4,drafter_10,10,112,2,4,C112_D2_P4,7,14,13,1,0,<=7,drafter_10/images/C112_D2_P4.jpg,drafter_10/annotations/C112_D2_P4.xml,17f42f4329f37eeb0fb357318e14c3b0a47e4d017f1b9b0a84f6bc0a4c7d5c29,1024,0,1,False,0.01357,0.00854
cghd_d11_C122_D2_P3,drafter_11,11,122,2,3,C122_D2_P3,10,22,19,0,2,8-13,drafter_11/images/C122_D2_P3.jpg,drafter_11/annotations/C122_D2_P3.xml,01a90a0648e376ecdf253f39ff08ad195121d30b773a6bee02e8762a6c01d0d8,1024,0,1,False,0.01606,0.00304
cghd_d12_C137_D2_P1,drafter_12,12,137,2,1,C137_D2_P1,5,10,6,0,2,<=7,drafter_12/images/C137_D2_P1.jpg,drafter_12/annotations/C137_D2_P1.xml,336f23794b803ef99222f3f5e83e83a70153f5573527770f67b1eddbaaee421c,1024,0,1,False,0.0075,0.0016
cghd_d13_C146_D2_P4,drafter_13,13,146,2,4,C146_D2_P4,16,27,8,0,2,14-19,drafter_13/images/C146_D2_P4.jpg,drafter_13/annotations/C146_D2_P4.xml,be93036a265e7b998ec5bd67008a1fbe7157ff7c06eb809a438b2fa8a1ce4e5b,1024,0,1,False,0.03576,0.00449
cghd_d13_C147_D2_P1,drafter_13,13,147,2,1,C147_D2_P1,6,12,6,0,0,<=7,drafter_13/images/C147_D2_P1.jpg,drafter_13/annotations/C147_D2_P1.xml,6abdf724b6e70fe300476f8d93e3695e5c60d3bfda5b67db676ed1ec146c7991,1024,0,2,False,0.01087,0.0019
cghd_d13_C151_D1_P1,drafter_13,13,151,1,1,C151_D1_P1,7,14,6,0,0,<=7,drafter_13/images/C151_D1_P1.jpg,drafter_13/annotations/C151_D1_P1.xml,ec854649e383034c056bbf026f4119cde1b4ec66742a07c6729ccdbd6240f4e9,1024,0,2,False,0.02534,0.00291
cghd_d16_C189_D1_P3,drafter_16,16,189,1,3,C189_D1_P3,43,81,59,1,14,>=20,drafter_16/images/C189_D1_P3.jpg,drafter_16/annotations/C189_D1_P3.xml,da59084f58e76d079e9d4b746d11f01bc25654be4ab0ec559d00121cb7501bb4,1024,0,1,False,0.03274,0.00683
cghd_d17_C194_D2_P1,drafter_17,17,194,2,1,C194_D2_P1,23,46,29,2,5,>=20,drafter_17/images/C194_D2_P1.JPG,drafter_17/annotations/C194_D2_P1.xml,c63deca0b3b86c2faff6d3efbd3e066160aaacd2a94630180e5015ae57d91780,1024,0,1,False,0.02008,0.01097
cghd_d18_C206_D1_P3,drafter_18,18,206,1,3,C206_D1_P3,10,22,12,1,4,8-13,drafter_18/images/C206_D1_P3.jpg,drafter_18/annotations/C206_D1_P3.xml,004c15f29f9fcc72c908b32b5dd42145b6a0be06f6b165fbbc9b07566456ba42,1024,0,1,False,0.02284,0.01501
cghd_d19_C221_D1_P2,drafter_19,19,221,1,2,C221_D1_P2,12,31,23,0,9,8-13,drafter_19/images/C221_D1_P2.jpg,drafter_19/annotations/C221_D1_P2.xml,627fda2d6f7f9937a7a59ea7b4934e4ea114826ce64e76c3c537ad8169046ddc,1024,0,1,False,0.01006,0.00358
cghd_d19_C222_D2_P1,drafter_19,19,222,2,1,C222_D2_P1,33,71,43,6,6,>=20,drafter_19/images/C222_D2_P1.jpg,drafter_19/annotations/C222_D2_P1.xml,9bd90356878a46c698cb580cb4d4e791d3e309933294056c5f668bcf671a7688,1024,0,1,False,0.01559,0.00513
cghd_d19_C225_D1_P3,drafter_19,19,225,1,3,C225_D1_P3,22,60,36,8,12,>=20,drafter_19/images/C225_D1_P3.jpg,drafter_19/annotations/C225_D1_P3.xml,dc84da3ca4abc0019ef3a82197668b88b8315c055141bb5679eb23a437f3a082,1024,0,1,False,0.04246,0.0231
cghd_d19_C226_D2_P1,drafter_19,19,226,2,1,C226_D2_P1,31,55,25,0,8,>=20,drafter_19/images/C226_D2_P1.jpg,drafter_19/annotations/C226_D2_P1.xml,a1b51810141085a939aa27f69cada8b4d497fc26b79bff8a24fa20bab04ea7f1,1024,0,1,False,0.01184,0.00308
cghd_d20_C229_D2_P4,drafter_20,20,229,2,4,C229_D2_P4,19,42,31,1,5,14-19,drafter_20/images/C229_D2_P4.jpeg,drafter_20/annotations/C229_D2_P4.xml,82dee85c14a0866dfdc15c49c51e7bb91ae2d96147e09d6f318a3d8fee34d44f,1024,0,1,False,0.01975,0.01165
cghd_d20_C230_D1_P2,drafter_20,20,230,1,2,C230_D1_P2,30,61,41,2,14,>=20,drafter_20/images/C230_D1_P2.jpeg,drafter_20/annotations/C230_D1_P2.xml,f8daf61698777dcb385871c0c2b6d5c7d76a1c1adadc6a0cf401e1a8e2f7953d,1024,0,1,False,0.02351,0.00997
cghd_d23_C271_D2_P2,drafter_23,23,271,2,2,C271_D2_P2,21,44,29,4,2,>=20,drafter_23/images/C271_D2_P2.jpeg,drafter_23/annotations/C271_D2_P2.xml,5f22b059df75ccf17624b6a8600fabd726009bffa3d331d2d72b022ad7f3f0d9,1024,0,1,False,0.04595,0.03178
cghd_d24_C283_D2_P3,drafter_24,24,283,2,3,C283_D2_P3,11,21,10,0,2,8-13,drafter_24/images/C283_D2_P3.jpg,drafter_24/annotations/C283_D2_P3.xml,7d39d201f4b3eb2aec89f04e0ea0a45d7cb4a94fe4e6fc17ff67abe6cdbe779c,1024,0,1,False,0.02166,0.00415
cghd_d24_C285_D2_P2,drafter_24,24,285,2,2,C285_D2_P2,16,35,23,1,5,14-19,drafter_24/images/C285_D2_P2.jpg,drafter_24/annotations/C285_D2_P2.xml,2730d77cfad9ecdff426314908a20bb656cd0c2d0210cd5d312a031efcbe0151,1024,0,1,False,0.0126,0.00122
