image,x,y,degree,label,prob,n_gt_nets
circuit_1.jpg,546,160,4,1,0.0434,2
circuit_1.jpg,580,160,3,1,0.0027,2
circuit_1.jpg,88,161,3,1,0.0001,2
circuit_1.jpg,204,162,3,1,0.0033,2
circuit_1.jpg,322,162,4,1,0.0055,2
circuit_1.jpg,81,182,3,1,0.0525,2
circuit_1.jpg,236,282,4,1,0.0003,2
circuit_1.jpg,546,344,4,1,0.9813,2
circuit_1.jpg,433,354,4,1,0.9639,4
circuit_1.jpg,526,346,3,1,0.0074,2
circuit_1.jpg,312,347,3,1,0.0001,2
circuit_1.jpg,952,423,3,1,0.0003,2
circuit_1.jpg,885,449,3,0,0.0004,1
circuit_1.jpg,237,472,3,1,0.0505,2
circuit_1.jpg,950,486,4,1,0.0785,2
circuit_1.jpg,429,493,4,1,0.9702,2
circuit_1.jpg,928,487,4,1,0.8679,2
circuit_1.jpg,74,490,4,1,0.0739,2
circuit_1.jpg,237,491,4,1,0.0088,2
circuit_1.jpg,703,489,3,1,0.0003,2
circuit_1.jpg,260,492,3,1,0.0054,2
circuit_1.jpg,726,492,3,1,0.0048,2
circuit_1.jpg,788,494,3,1,0.0004,2
circuit_1.jpg,947,507,4,1,0.0846,2
circuit_1.jpg,929,504,4,1,0.7787,2
circuit_1.jpg,284,551,3,1,0.0002,2
circuit_1.jpg,420,554,4,1,0.0104,2
circuit_1.jpg,946,568,4,1,0.0004,2
circuit_1.jpg,964,571,4,1,0.0355,2
circuit_1.jpg,979,572,4,1,0.4017,2
circuit_1.jpg,570,582,5,0,0.0595,1
circuit_1.jpg,986,590,4,1,0.916,2
circuit_1.jpg,976,590,4,1,0.4512,2
circuit_1.jpg,786,591,3,1,0.0116,2
circuit_1.jpg,945,652,3,0,0.0009,1
circuit_1.jpg,947,679,3,0,0.0299,1
circuit_1.jpg,444,712,3,1,0.0041,2
circuit_1.jpg,951,757,4,0,0.0118,1
circuit_1.jpg,961,757,3,0,0.0004,1
circuit_1.jpg,86,758,3,0,0.0029,1
circuit_1.jpg,574,758,4,0,0.0591,1
circuit_1.jpg,770,758,4,0,0.0051,1
circuit_1.jpg,884,758,4,0,0.0069,1
circuit_1.jpg,100,759,3,0,0.0049,1
circuit_1.jpg,110,760,3,0,0.0049,1
circuit_1.jpg,414,761,4,0,0.0038,1
circuit_1.jpg,278,764,4,0,0.0883,1
circuit_1016.jpg,430,290,3,1,0.0018,2
circuit_1016.jpg,494,289,4,1,0.0194,2
circuit_1016.jpg,66,294,4,1,0.0002,2
circuit_1016.jpg,256,293,4,1,0.0171,2
circuit_1016.jpg,680,293,3,1,0.0001,2
circuit_1016.jpg,384,416,4,0,0.0004,1
circuit_1016.jpg,497,441,4,1,0.4903,2
circuit_1016.jpg,687,440,3,1,0.0008,2
circuit_1016.jpg,384,443,4,1,0.7393,2
circuit_1016.jpg,294,444,3,1,0.0023,2
circuit_1016.jpg,472,443,3,1,0.0025,2
circuit_1016.jpg,380,500,3,0,0.0598,1
circuit_1016.jpg,380,516,4,1,0.0551,2
circuit_1016.jpg,73,532,4,1,0.0321,2
circuit_1016.jpg,209,534,4,1,0.1103,2
circuit_1016.jpg,282,533,3,1,0.0025,2
circuit_1016.jpg,302,534,3,1,0.0035,2
circuit_1016.jpg,385,534,4,1,0.1967,2
circuit_1016.jpg,376,542,4,1,0.225,2
circuit_1016.jpg,687,566,4,0,0.0719,1
circuit_1016.jpg,499,568,4,0,0.0204,1
circuit_1016.jpg,768,573,3,0,0.0033,1
circuit_1016.jpg,371,578,3,0,0.0158,1
circuit_1016.jpg,255,581,3,0,0.0001,1
circuit_1016.jpg,799,589,4,0,0.0013,1
circuit_1016.jpg,828,588,4,0,0.0451,1
circuit_1016.jpg,834,610,4,0,0.1357,1
circuit_1016.jpg,844,614,3,0,0.0514,1
circuit_1016.jpg,372,661,3,0,0.0003,1
circuit_1016.jpg,737,667,3,0,0.0001,1
circuit_1016.jpg,247,702,4,0,0.1035,1
circuit_1016.jpg,498,704,3,0,0.0093,1
circuit_1016.jpg,466,706,4,0,0.0091,1
circuit_1016.jpg,685,705,3,0,0.0704,1
circuit_1016.jpg,796,710,4,0,0.0149,1
circuit_1016.jpg,852,711,3,0,0.0027,1
circuit_1016.jpg,896,712,4,0,0.0004,1
circuit_1018.jpg,492,402,4,1,0.0038,2
circuit_1018.jpg,241,404,3,0,0.0006,1
circuit_1018.jpg,804,419,4,0,0.0006,1
circuit_1018.jpg,502,600,4,1,0.031,2
circuit_1018.jpg,446,611,3,1,0.002,2
circuit_1018.jpg,406,613,3,1,0.0018,2
circuit_1018.jpg,243,620,4,1,0.001,2
circuit_1074.jpg,817,238,3,0,0.0,1
circuit_1074.jpg,667,267,4,0,0.0002,1
circuit_1074.jpg,560,268,3,0,0.0009,1
circuit_1074.jpg,384,271,4,0,0.0002,1
circuit_1074.jpg,67,278,4,0,0.0002,1
circuit_1074.jpg,96,280,3,0,0.0335,1
circuit_1074.jpg,224,282,3,0,0.0004,1
circuit_1074.jpg,671,304,3,0,0.1528,1
circuit_1074.jpg,672,325,4,0,0.0194,1
circuit_1074.jpg,564,340,4,0,0.0116,1
circuit_1074.jpg,829,342,5,0,0.0398,1
circuit_1074.jpg,388,348,3,0,0.0295,1
circuit_1074.jpg,226,358,3,0,0.0151,1
circuit_1074.jpg,563,361,4,0,0.0624,1
circuit_1074.jpg,532,365,3,0,0.0011,1
circuit_1074.jpg,704,382,3,0,0.0001,1
circuit_1074.jpg,400,405,4,0,0.0001,1
circuit_1074.jpg,96,410,4,0,0.0003,1
circuit_1074.jpg,399,422,3,0,0.0179,1
circuit_1074.jpg,793,470,3,1,0.001,2
circuit_1074.jpg,678,478,3,1,0.0005,2
circuit_1074.jpg,760,488,4,1,0.0178,2
circuit_1074.jpg,729,487,3,1,0.0057,2
circuit_1074.jpg,738,493,4,1,0.0064,2
circuit_1074.jpg,394,500,3,0,0.031,1
circuit_1074.jpg,995,508,3,0,0.0898,1
circuit_1074.jpg,287,512,3,0,0.0,1
circuit_1074.jpg,673,536,4,1,0.0185,2
circuit_1074.jpg,554,540,4,0,0.019,1
circuit_1074.jpg,992,546,4,0,0.1101,1
circuit_1074.jpg,803,549,4,1,0.0007,2
circuit_1074.jpg,692,578,3,0,0.0,1
circuit_1074.jpg,287,590,4,0,0.2832,1
circuit_1074.jpg,115,592,3,0,0.0014,1
circuit_1074.jpg,766,617,3,0,0.0074,1
circuit_1074.jpg,119,631,3,0,0.0,1
circuit_1074.jpg,792,639,3,0,0.0018,1
circuit_1074.jpg,287,655,4,0,0.0003,1
circuit_1074.jpg,122,682,3,0,0.0,1
circuit_1074.jpg,802,708,4,0,0.0293,1
circuit_1074.jpg,648,707,4,0,0.0098,1
circuit_1074.jpg,812,708,4,0,0.0054,1
circuit_1074.jpg,988,712,4,0,0.0008,1
circuit_1076.jpg,330,157,3,0,0.0022,1
circuit_1076.jpg,481,209,3,0,0.0001,1
circuit_1076.jpg,506,211,3,0,0.0012,1
circuit_1076.jpg,61,226,3,0,0.0005,1
circuit_1076.jpg,144,230,3,0,0.012,1
circuit_1076.jpg,164,234,3,0,0.0028,1
circuit_1076.jpg,60,256,3,0,0.0079,1
circuit_1076.jpg,340,277,4,0,0.0022,1
circuit_1076.jpg,481,282,3,0,0.006,1
circuit_1076.jpg,189,306,4,0,0.0,1
circuit_1076.jpg,642,323,3,0,0.0042,1
circuit_1076.jpg,678,324,4,0,0.0119,1
circuit_1076.jpg,856,326,3,0,0.0008,1
circuit_1076.jpg,938,330,3,0,0.0031,1
circuit_1076.jpg,963,333,3,0,0.0015,1
circuit_1076.jpg,969,358,3,0,0.0799,1
circuit_1076.jpg,494,364,4,0,0.0003,1
circuit_1076.jpg,420,365,3,0,0.0001,1
circuit_1076.jpg,973,378,3,0,0.0675,1
circuit_1076.jpg,978,404,3,0,0.0718,1
circuit_1076.jpg,698,433,3,0,0.0002,1
circuit_1076.jpg,710,434,3,0,0.0032,1
circuit_1076.jpg,758,438,3,0,0.004,1
circuit_1076.jpg,777,441,3,0,0.0015,1
circuit_1076.jpg,596,444,3,0,0.0244,1
circuit_1076.jpg,419,504,4,0,0.9547,1
circuit_1076.jpg,364,506,4,0,0.018,1
circuit_1076.jpg,446,506,3,0,0.0041,1
circuit_1076.jpg,588,510,3,0,0.0019,1
circuit_1076.jpg,991,534,4,0,0.5822,1
circuit_1076.jpg,918,535,3,0,0.0,1
circuit_1076.jpg,786,540,3,0,0.0089,1
circuit_1076.jpg,78,562,3,0,0.0004,1
circuit_1076.jpg,90,561,3,0,0.0011,1
circuit_1076.jpg,238,564,4,0,0.001,1
circuit_1076.jpg,611,570,4,0,0.0001,1
circuit_1076.jpg,220,613,3,0,0.0002,1
circuit_1076.jpg,987,616,3,0,0.0692,1
circuit_1076.jpg,984,670,3,0,0.0784,1
circuit_1076.jpg,536,691,3,0,0.0002,1
circuit_1076.jpg,733,694,3,0,0.0002,1
circuit_1076.jpg,538,718,3,0,0.0375,1
circuit_1076.jpg,536,767,3,0,0.0085,1
circuit_1076.jpg,420,769,3,0,0.0004,1
circuit_1076.jpg,736,776,4,0,0.0354,1
circuit_1076.jpg,984,794,4,0,0.0461,1
circuit_1076.jpg,737,796,4,0,0.0113,1
circuit_1076.jpg,936,798,3,0,0.0,1
circuit_1076.jpg,656,799,3,0,0.0001,1
circuit_1076.jpg,533,835,4,0,0.0002,1
circuit_1077.jpg,462,332,3,0,0.0004,1
circuit_1077.jpg,509,358,3,0,0.0003,1
circuit_1077.jpg,520,368,4,0,0.0808,1
circuit_1077.jpg,459,372,4,0,0.0537,1
circuit_1077.jpg,216,376,3,0,0.0005,1
circuit_1077.jpg,718,380,3,0,0.0508,1
circuit_1077.jpg,717,423,3,0,0.0005,1
circuit_1077.jpg,459,430,3,0,0.0002,1
circuit_1077.jpg,799,558,3,0,0.0321,1
circuit_1077.jpg,796,571,4,0,0.0023,1
circuit_1077.jpg,764,571,3,0,0.0026,1
circuit_1077.jpg,478,574,3,0,0.0047,1
circuit_1077.jpg,206,581,3,0,0.0002,1
circuit_1079.jpg,577,237,4,0,0.0216,1
circuit_1079.jpg,836,238,3,0,0.0062,1
circuit_1079.jpg,878,246,3,0,0.0049,1
circuit_1079.jpg,325,315,3,0,0.0916,1
circuit_1079.jpg,260,315,3,0,0.0197,1
circuit_1079.jpg,873,460,4,1,0.9913,3
circuit_1079.jpg,776,466,4,1,0.1947,3
