image,x,y,degree,label,prob,n_gt_nets_on_node
circuit_1.jpg,546,160,4,1,0.8003,2
circuit_1.jpg,580,160,3,1,0.0864,2
circuit_1.jpg,88,161,3,0,0.0531,2
circuit_1.jpg,204,162,3,0,0.5096,2
circuit_1.jpg,322,162,4,0,0.8901,2
circuit_1.jpg,81,182,3,0,0.723,2
circuit_1.jpg,236,282,4,1,0.0866,2
circuit_1.jpg,546,344,4,1,0.5916,2
circuit_1.jpg,526,346,3,0,0.7802,2
circuit_1.jpg,312,347,3,0,0.4851,2
circuit_1.jpg,952,423,3,1,0.7995,2
circuit_1.jpg,885,449,3,0,0.0072,1
circuit_1.jpg,237,472,3,1,0.2386,2
circuit_1.jpg,950,486,4,1,0.3052,2
circuit_1.jpg,928,487,4,0,0.0064,2
circuit_1.jpg,74,490,4,1,0.5308,2
circuit_1.jpg,237,491,4,1,0.2692,2
circuit_1.jpg,703,489,3,1,0.6122,2
circuit_1.jpg,260,492,3,1,0.5016,2
circuit_1.jpg,726,492,3,1,0.575,2
circuit_1.jpg,788,494,3,1,0.1222,2
circuit_1.jpg,947,507,4,1,0.0898,2
circuit_1.jpg,929,504,4,0,0.1598,2
circuit_1.jpg,284,551,3,1,0.7152,2
circuit_1.jpg,420,554,4,1,0.5237,2
circuit_1.jpg,946,568,4,1,0.2476,2
circuit_1.jpg,964,571,4,1,0.0007,2
circuit_1.jpg,979,572,4,0,0.0099,2
circuit_1.jpg,570,582,5,0,0.517,1
circuit_1.jpg,986,590,4,0,0.1105,2
circuit_1.jpg,976,590,4,0,0.0046,2
circuit_1.jpg,786,591,3,1,0.7071,2
circuit_1.jpg,945,652,3,0,0.7733,1
circuit_1.jpg,947,679,3,0,0.792,1
circuit_1.jpg,444,712,3,1,0.9027,2
circuit_1.jpg,951,757,4,0,0.5834,1
circuit_1.jpg,961,757,3,0,0.3983,1
circuit_1.jpg,86,758,3,0,0.8725,1
circuit_1.jpg,574,758,4,0,0.2545,1
circuit_1.jpg,770,758,4,0,0.0416,1
circuit_1.jpg,884,758,4,0,0.5355,1
circuit_1.jpg,100,759,3,0,0.5076,1
circuit_1.jpg,110,760,3,0,0.4484,1
circuit_1.jpg,414,761,4,0,0.2394,1
circuit_1.jpg,278,764,4,0,0.5541,1
circuit_1016.jpg,430,290,3,1,0.3802,2
circuit_1016.jpg,494,289,4,1,0.8249,2
circuit_1016.jpg,66,294,4,0,0.0827,2
circuit_1016.jpg,256,293,4,1,0.6163,2
circuit_1016.jpg,680,293,3,1,0.3091,2
circuit_1016.jpg,384,416,4,0,0.0632,1
circuit_1016.jpg,497,441,4,1,0.3722,2
circuit_1016.jpg,687,440,3,1,0.7773,2
circuit_1016.jpg,294,444,3,1,0.2757,2
circuit_1016.jpg,472,443,3,1,0.0164,2
circuit_1016.jpg,380,500,3,0,0.0011,1
circuit_1016.jpg,380,516,4,0,0.0007,1
circuit_1016.jpg,73,532,4,1,0.2475,2
circuit_1016.jpg,209,534,4,1,0.1525,2
circuit_1016.jpg,282,533,3,1,0.6913,2
circuit_1016.jpg,302,534,3,1,0.4191,2
circuit_1016.jpg,385,534,4,1,0.0221,2
circuit_1016.jpg,376,542,4,0,0.0014,1
circuit_1016.jpg,687,566,4,0,0.8344,1
circuit_1016.jpg,499,568,4,0,0.3542,1
circuit_1016.jpg,768,573,3,0,0.1871,1
circuit_1016.jpg,371,578,3,0,0.0221,1
circuit_1016.jpg,255,581,3,0,0.5511,1
circuit_1016.jpg,799,589,4,0,0.6977,1
circuit_1016.jpg,828,588,4,0,0.0784,1
circuit_1016.jpg,834,610,4,0,0.8102,1
circuit_1016.jpg,844,614,3,0,0.0267,1
circuit_1016.jpg,372,661,3,0,0.5025,1
circuit_1016.jpg,737,667,3,0,0.2862,1
circuit_1016.jpg,247,702,4,0,0.5357,1
circuit_1016.jpg,498,704,3,0,0.7872,1
circuit_1016.jpg,466,706,4,0,0.4895,1
circuit_1016.jpg,685,705,3,0,0.1234,1
circuit_1016.jpg,796,710,4,0,0.1191,1
circuit_1016.jpg,852,711,3,0,0.5077,1
circuit_1016.jpg,896,712,4,0,0.8825,1
circuit_1018.jpg,492,402,4,1,0.327,2
circuit_1018.jpg,241,404,3,0,0.6401,1
circuit_1018.jpg,804,419,4,0,0.9234,1
circuit_1018.jpg,502,600,4,1,0.9186,2
circuit_1018.jpg,446,611,3,1,0.3457,2
circuit_1018.jpg,406,613,3,1,0.4555,2
circuit_1018.jpg,243,620,4,1,0.0524,2
circuit_1074.jpg,817,238,3,0,0.5909,1
circuit_1074.jpg,667,267,4,0,0.9702,1
circuit_1074.jpg,560,268,3,0,0.728,1
circuit_1074.jpg,384,271,4,0,0.6409,1
circuit_1074.jpg,67,278,4,0,0.8899,1
circuit_1074.jpg,96,280,3,0,0.0173,1
circuit_1074.jpg,224,282,3,0,0.7549,1
circuit_1074.jpg,671,304,3,0,0.5058,1
circuit_1074.jpg,672,325,4,0,0.8809,1
circuit_1074.jpg,564,340,4,0,0.8676,1
circuit_1074.jpg,829,342,5,0,0.7895,1
circuit_1074.jpg,388,348,3,0,0.1416,1
circuit_1074.jpg,226,358,3,0,0.6537,1
circuit_1074.jpg,563,361,4,0,0.0271,1
circuit_1074.jpg,532,365,3,0,0.2543,1
circuit_1074.jpg,704,382,3,0,0.1046,1
circuit_1074.jpg,400,405,4,0,0.7264,1
circuit_1074.jpg,96,410,4,0,0.1183,1
circuit_1074.jpg,399,422,3,0,0.7354,1
circuit_1074.jpg,793,470,3,0,0.554,2
circuit_1074.jpg,678,478,3,0,0.6718,2
circuit_1074.jpg,760,488,4,0,0.9657,2
circuit_1074.jpg,729,487,3,0,0.0062,2
circuit_1074.jpg,738,493,4,0,0.0035,2
circuit_1074.jpg,394,500,3,0,0.927,1
circuit_1074.jpg,995,508,3,0,0.8453,1
circuit_1074.jpg,287,512,3,0,0.955,1
circuit_1074.jpg,673,536,4,0,0.0913,2
circuit_1074.jpg,554,540,4,0,0.1433,1
circuit_1074.jpg,992,546,4,0,0.2095,1
circuit_1074.jpg,803,549,4,0,0.6613,2
circuit_1074.jpg,692,578,3,0,0.1295,1
circuit_1074.jpg,287,590,4,0,0.1783,1
