image,x,y,degree,label,prob,n_gt_nets_on_node
circuit_1.jpg,546,160,4,1,0.3898,2
circuit_1.jpg,580,160,3,1,0.3856,2
circuit_1.jpg,88,161,3,0,0.389,2
circuit_1.jpg,204,162,3,0,0.3254,2
circuit_1.jpg,322,162,4,0,0.3735,2
circuit_1.jpg,81,182,3,0,0.4158,2
circuit_1.jpg,236,282,4,1,0.3384,2
circuit_1.jpg,546,344,4,1,0.4952,2
circuit_1.jpg,526,346,3,0,0.4926,2
circuit_1.jpg,312,347,3,0,0.3417,2
circuit_1.jpg,952,423,3,1,0.3126,2
circuit_1.jpg,885,449,3,0,0.4537,1
circuit_1.jpg,237,472,3,1,0.4739,2
circuit_1.jpg,950,486,4,1,0.3894,2
circuit_1.jpg,928,487,4,0,0.4366,2
circuit_1.jpg,74,490,4,1,0.3758,2
circuit_1.jpg,237,491,4,1,0.4344,2
circuit_1.jpg,703,489,3,1,0.3833,2
circuit_1.jpg,260,492,3,1,0.3544,2
circuit_1.jpg,726,492,3,1,0.4038,2
circuit_1.jpg,788,494,3,1,0.3366,2
circuit_1.jpg,947,507,4,1,0.4081,2
circuit_1.jpg,929,504,4,0,0.417,2
circuit_1.jpg,284,551,3,1,0.3197,2
circuit_1.jpg,420,554,4,1,0.3887,2
circuit_1.jpg,946,568,4,1,0.3859,2
circuit_1.jpg,964,571,4,1,0.4077,2
circuit_1.jpg,979,572,4,0,0.4297,2
circuit_1.jpg,570,582,5,0,0.392,1
circuit_1.jpg,986,590,4,0,0.4333,2
circuit_1.jpg,976,590,4,0,0.4328,2
circuit_1.jpg,786,591,3,1,0.379,2
circuit_1.jpg,945,652,3,0,0.2863,1
circuit_1.jpg,947,679,3,0,0.2914,1
circuit_1.jpg,444,712,3,1,0.4044,2
circuit_1.jpg,951,757,4,0,0.4243,1
circuit_1.jpg,961,757,3,0,0.3973,1
circuit_1.jpg,86,758,3,0,0.3879,1
circuit_1.jpg,574,758,4,0,0.407,1
circuit_1.jpg,770,758,4,0,0.3758,1
circuit_1.jpg,884,758,4,0,0.3549,1
circuit_1.jpg,100,759,3,0,0.3587,1
circuit_1.jpg,110,760,3,0,0.3418,1
circuit_1.jpg,414,761,4,0,0.4676,1
circuit_1.jpg,278,764,4,0,0.456,1
circuit_1016.jpg,430,290,3,1,0.3501,2
circuit_1016.jpg,494,289,4,1,0.4002,2
circuit_1016.jpg,66,294,4,0,0.3313,2
circuit_1016.jpg,256,293,4,1,0.3685,2
circuit_1016.jpg,680,293,3,1,0.3405,2
circuit_1016.jpg,384,416,4,0,0.4344,1
circuit_1016.jpg,497,441,4,1,0.4126,2
circuit_1016.jpg,687,440,3,1,0.3088,2
circuit_1016.jpg,294,444,3,1,0.3346,2
circuit_1016.jpg,472,443,3,1,0.4286,2
circuit_1016.jpg,380,500,3,0,0.3132,1
circuit_1016.jpg,380,516,4,0,0.3272,1
circuit_1016.jpg,73,532,4,1,0.3663,2
circuit_1016.jpg,209,534,4,1,0.3968,2
circuit_1016.jpg,282,533,3,1,0.4063,2
circuit_1016.jpg,302,534,3,1,0.4025,2
circuit_1016.jpg,385,534,4,1,0.3664,2
circuit_1016.jpg,376,542,4,0,0.3255,1
circuit_1016.jpg,687,566,4,0,0.3585,1
circuit_1016.jpg,499,568,4,0,0.3779,1
circuit_1016.jpg,768,573,3,0,0.3642,1
circuit_1016.jpg,371,578,3,0,0.3523,1
circuit_1016.jpg,255,581,3,0,0.3266,1
circuit_1016.jpg,799,589,4,0,0.4316,1
circuit_1016.jpg,828,588,4,0,0.4518,1
circuit_1016.jpg,834,610,4,0,0.4229,1
circuit_1016.jpg,844,614,3,0,0.4242,1
circuit_1016.jpg,372,661,3,0,0.3866,1
circuit_1016.jpg,737,667,3,0,0.4491,1
circuit_1016.jpg,247,702,4,0,0.4427,1
circuit_1016.jpg,498,704,3,0,0.4783,1
circuit_1016.jpg,466,706,4,0,0.4731,1
circuit_1016.jpg,685,705,3,0,0.3836,1
circuit_1016.jpg,796,710,4,0,0.4001,1
circuit_1016.jpg,852,711,3,0,0.3427,1
circuit_1016.jpg,896,712,4,0,0.3357,1
circuit_1018.jpg,492,402,4,1,0.4131,2
