image,x,y,degree,label,prob,n_gt_nets_on_node
circuit_1.jpg,546,160,4,1,0.0287,2
circuit_1.jpg,580,160,3,1,0.2933,2
circuit_1.jpg,88,161,3,0,0.8582,2
circuit_1.jpg,204,162,3,0,0.5814,2
circuit_1.jpg,322,162,4,0,0.9263,2
circuit_1.jpg,81,182,3,0,0.752,2
circuit_1.jpg,236,282,4,1,0.3368,2
circuit_1.jpg,546,344,4,1,0.0444,2
circuit_1.jpg,526,346,3,0,0.5894,2
circuit_1.jpg,312,347,3,0,0.7192,2
circuit_1.jpg,952,423,3,1,0.8348,2
circuit_1.jpg,885,449,3,0,0.9402,1
circuit_1.jpg,237,472,3,1,0.8627,2
circuit_1.jpg,950,486,4,1,0.1071,2
circuit_1.jpg,928,487,4,0,0.2266,2
circuit_1.jpg,74,490,4,1,0.4477,2
circuit_1.jpg,237,491,4,1,0.5834,2
circuit_1.jpg,703,489,3,1,0.6174,2
circuit_1.jpg,260,492,3,1,0.867,2
circuit_1.jpg,726,492,3,1,0.4965,2
circuit_1.jpg,788,494,3,1,0.2983,2
circuit_1.jpg,947,507,4,1,0.0128,2
circuit_1.jpg,929,504,4,0,0.0153,2
circuit_1.jpg,284,551,3,1,0.2899,2
circuit_1.jpg,420,554,4,1,0.1017,2
circuit_1.jpg,946,568,4,1,0.9805,2
circuit_1.jpg,964,571,4,1,0.6909,2
circuit_1.jpg,979,572,4,0,0.6473,2
circuit_1.jpg,570,582,5,0,0.2114,1
circuit_1.jpg,986,590,4,0,0.9344,2
circuit_1.jpg,976,590,4,0,0.8066,2
circuit_1.jpg,786,591,3,1,0.2896,2
circuit_1.jpg,945,652,3,0,0.5837,1
circuit_1.jpg,947,679,3,0,0.4626,1
circuit_1.jpg,444,712,3,1,0.6687,2
circuit_1.jpg,951,757,4,0,0.8512,1
circuit_1.jpg,961,757,3,0,0.8787,1
circuit_1.jpg,86,758,3,0,0.5159,1
circuit_1.jpg,574,758,4,0,0.7221,1
circuit_1.jpg,770,758,4,0,0.2813,1
circuit_1.jpg,884,758,4,0,0.6945,1
circuit_1.jpg,100,759,3,0,0.5983,1
circuit_1.jpg,110,760,3,0,0.4727,1
circuit_1.jpg,414,761,4,0,0.6655,1
circuit_1.jpg,278,764,4,0,0.8491,1
circuit_1016.jpg,430,290,3,1,0.4858,2
circuit_1016.jpg,494,289,4,1,0.8855,2
circuit_1016.jpg,66,294,4,0,0.2358,2
circuit_1016.jpg,256,293,4,1,0.7518,2
circuit_1016.jpg,680,293,3,1,0.8612,2
circuit_1016.jpg,384,416,4,0,0.3858,1
circuit_1016.jpg,497,441,4,1,0.207,2
circuit_1016.jpg,687,440,3,1,0.2523,2
circuit_1016.jpg,294,444,3,1,0.2475,2
circuit_1016.jpg,472,443,3,1,0.1488,2
circuit_1016.jpg,380,500,3,0,0.2336,1
circuit_1016.jpg,380,516,4,0,0.1245,1
circuit_1016.jpg,73,532,4,1,0.7964,2
circuit_1016.jpg,209,534,4,1,0.8461,2
circuit_1016.jpg,282,533,3,1,0.5861,2
circuit_1016.jpg,302,534,3,1,0.5767,2
circuit_1016.jpg,385,534,4,1,0.1762,2
circuit_1016.jpg,376,542,4,0,0.2661,1
circuit_1016.jpg,687,566,4,0,0.7225,1
circuit_1016.jpg,499,568,4,0,0.7394,1
circuit_1016.jpg,768,573,3,0,0.2257,1
circuit_1016.jpg,371,578,3,0,0.1682,1
circuit_1016.jpg,255,581,3,0,0.1463,1
circuit_1016.jpg,799,589,4,0,0.598,1
circuit_1016.jpg,828,588,4,0,0.0928,1
circuit_1016.jpg,834,610,4,0,0.4259,1
circuit_1016.jpg,844,614,3,0,0.071,1
circuit_1016.jpg,372,661,3,0,0.406,1
circuit_1016.jpg,737,667,3,0,0.5052,1
circuit_1016.jpg,247,702,4,0,0.632,1
circuit_1016.jpg,498,704,3,0,0.7663,1
circuit_1016.jpg,466,706,4,0,0.9225,1
circuit_1016.jpg,685,705,3,0,0.8854,1
circuit_1016.jpg,796,710,4,0,0.4334,1
circuit_1016.jpg,852,711,3,0,0.5074,1
circuit_1016.jpg,896,712,4,0,0.0897,1
circuit_1018.jpg,492,402,4,1,0.9187,2
circuit_1018.jpg,241,404,3,0,0.5731,1
circuit_1018.jpg,804,419,4,0,0.5948,1
circuit_1018.jpg,502,600,4,1,0.8804,2
circuit_1018.jpg,446,611,3,1,0.5349,2
circuit_1018.jpg,406,613,3,1,0.2838,2
circuit_1018.jpg,243,620,4,1,0.6854,2
circuit_1074.jpg,817,238,3,0,0.4698,1
circuit_1074.jpg,667,267,4,0,0.4892,1
circuit_1074.jpg,560,268,3,0,0.5911,1
circuit_1074.jpg,384,271,4,0,0.0173,1
circuit_1074.jpg,67,278,4,0,0.3437,2
circuit_1074.jpg,96,280,3,0,0.9281,2
circuit_1074.jpg,224,282,3,0,0.1329,2
circuit_1074.jpg,671,304,3,0,0.825,1
circuit_1074.jpg,672,325,4,0,0.6077,1
circuit_1074.jpg,564,340,4,0,0.8517,1
circuit_1074.jpg,829,342,5,0,0.9791,1
circuit_1074.jpg,388,348,3,0,0.585,1
circuit_1074.jpg,226,358,3,0,0.7882,2
circuit_1074.jpg,563,361,4,0,0.8821,1
circuit_1074.jpg,532,365,3,0,0.8244,1
circuit_1074.jpg,704,382,3,0,0.6808,1
circuit_1074.jpg,400,405,4,0,0.2359,1
circuit_1074.jpg,96,410,4,0,0.3248,2
circuit_1074.jpg,399,422,3,0,0.7253,1
circuit_1074.jpg,793,470,3,1,0.3019,2
circuit_1074.jpg,678,478,3,1,0.4505,2
circuit_1074.jpg,760,488,4,1,0.2138,2
circuit_1074.jpg,729,487,3,1,0.6709,2
circuit_1074.jpg,738,493,4,1,0.7386,2
circuit_1074.jpg,394,500,3,0,0.6191,1
circuit_1074.jpg,995,508,3,0,0.5168,1
circuit_1074.jpg,287,512,3,0,0.6175,1
circuit_1074.jpg,673,536,4,1,0.9281,2
circuit_1074.jpg,554,540,4,0,0.106,1
circuit_1074.jpg,992,546,4,0,0.82,1
circuit_1074.jpg,803,549,4,1,0.9716,2
circuit_1074.jpg,692,578,3,1,0.2127,2
circuit_1074.jpg,287,590,4,0,0.3583,1
circuit_1074.jpg,115,592,3,0,0.5181,1
circuit_1074.jpg,766,617,3,0,0.4169,2
circuit_1074.jpg,119,631,3,0,0.4169,1
circuit_1074.jpg,792,639,3,1,0.2895,2
circuit_1074.jpg,287,655,4,0,0.3537,1
circuit_1074.jpg,122,682,3,0,0.3896,1
circuit_1074.jpg,802,708,4,1,0.9456,2
circuit_1074.jpg,648,707,4,0,0.5673,1
circuit_1074.jpg,812,708,4,0,0.7406,2
circuit_1074.jpg,988,712,4,0,0.5094,1
circuit_1076.jpg,330,157,3,0,0.5565,1
circuit_1076.jpg,481,209,3,0,0.725,1
circuit_1076.jpg,506,211,3,0,0.5742,1
circuit_1076.jpg,61,226,3,0,0.6207,1
circuit_1076.jpg,144,230,3,0,0.8748,1
circuit_1076.jpg,164,234,3,0,0.6978,1
circuit_1076.jpg,60,256,3,0,0.7199,1
circuit_1076.jpg,340,277,4,0,0.7805,1
circuit_1076.jpg,481,282,3,0,0.6527,1
circuit_1076.jpg,189,306,4,0,0.3588,1
circuit_1076.jpg,642,323,3,0,0.7582,1
circuit_1076.jpg,678,324,4,0,0.4438,1
circuit_1076.jpg,856,326,3,0,0.6027,1
