file,column,n,mean,std,min,median,max
experiments/legacy/pipeline_evaluation.csv,num_components,100,14.0,0.0,14.0,14.0,14.0
experiments/legacy/pipeline_evaluation.csv,num_wire_nodes,100,0.0,0.0,0.0,0.0,0.0
experiments/legacy/pipeline_evaluation.csv,terminal_snap_rate,100,0.0,0.0,0.0,0.0,0.0
experiments/legacy/pipeline_evaluation.csv,fully_connected_rate,100,0.0,0.0,0.0,0.0,0.0
experiments/legacy/pipeline_evaluation.csv,netlist_generated,100,0.0,0.0,0.0,0.0,0.0
experiments/legacy/pipeline_evaluation.csv,ngspice_ok,100,0.0,0.0,0.0,0.0,0.0
experiments/train_all/runs/yolov8m_640_seed0/results.csv,epoch,165,83.0,47.7755,1.0,83.0,165.0
experiments/train_all/runs/yolov8m_640_seed0/results.csv,time,165,1033.8202,592.0299,12.3101,1041.69,2041.65
experiments/train_all/runs/yolov8m_640_seed0/results.csv,train/box_loss,165,0.8176,0.1953,0.5777,0.7813,2.0444
experiments/train_all/runs/yolov8m_640_seed0/results.csv,train/cls_loss,165,0.4291,0.2251,0.2967,0.38,2.8298
experiments/train_all/runs/yolov8m_640_seed0/results.csv,train/dfl_loss,165,0.9419,0.0743,0.8618,0.9263,1.5065
experiments/train_all/runs/yolov8m_640_seed0/results.csv,metrics/precision(B),165,0.9518,0.043,0.546,0.9617,0.9772
experiments/train_all/runs/yolov8m_640_seed0/results.csv,metrics/recall(B),165,0.9523,0.0282,0.6824,0.9595,0.978
experiments/train_all/runs/yolov8m_640_seed0/results.csv,metrics/mAP50(B),165,0.9697,0.0342,0.5843,0.9762,0.9839
experiments/train_all/runs/yolov8m_640_seed0/results.csv,metrics/mAP50-95(B),165,0.7122,0.0395,0.3293,0.7228,0.7383
experiments/train_all/runs/yolov8m_640_seed0/results.csv,val/box_loss,165,1.0274,0.0602,0.9687,1.0093,1.4834
experiments/train_all/runs/yolov8m_640_seed0/results.csv,val/cls_loss,165,0.4234,0.1116,0.3658,0.3926,1.5216
experiments/train_all/runs/yolov8m_640_seed0/results.csv,val/dfl_loss,165,1.0686,0.0224,1.0358,1.0653,1.2495
experiments/train_all/runs/yolov8m_640_seed0/results.csv,lr/pg0,165,0.0003,0.0001,0.0002,0.0003,0.0005
experiments/train_all/runs/yolov8m_640_seed0/results.csv,lr/pg1,165,0.0003,0.0001,0.0002,0.0003,0.0005
experiments/train_all/runs/yolov8m_640_seed0/results.csv,lr/pg2,165,0.0003,0.0001,0.0002,0.0003,0.0005
experiments/train_all/runs/yolov8n_640_seed0/results.csv,epoch,251,126.0,72.6017,1.0,126.0,251.0
experiments/train_all/runs/yolov8n_640_seed0/results.csv,time,251,473.6109,270.477,4.2543,472.358,938.153
experiments/train_all/runs/yolov8n_640_seed0/results.csv,train/box_loss,251,0.9124,0.1825,0.7272,0.8748,2.6689
experiments/train_all/runs/yolov8n_640_seed0/results.csv,train/cls_loss,251,0.5669,0.3773,0.3913,0.4763,4.8162
experiments/train_all/runs/yolov8n_640_seed0/results.csv,train/dfl_loss,251,0.9282,0.0665,0.8761,0.9152,1.7379
