class,support,ap50,ap50_95
BJT-NPN,100,0.9915205388126928,0.7390650326168889
BJT-PNP,73,0.9667611161524502,0.7178043317877516
Capacitor,305,0.9925058847961746,0.6806865873959376
Diode,137,0.9939657444005271,0.704808987554109
GND,305,0.9848424307593961,0.6084514538256944
I-AC,61,0.9822174506624846,0.7948724644321864
I-DC,103,0.9516488942958407,0.7821396990203617
Inductor,323,0.9778290396581943,0.7088362351260844
MOSFET-N,54,0.9321191479660229,0.7360329961186632
MOSFET-P,44,0.8728228049899629,0.7067216503505911
Op-Amp,116,0.985,0.8113411677439226
Resistor,448,0.9925393298477875,0.7194467678703329
V-AC,76,0.9647450327848757,0.7916812318872898
V-DC,137,0.9734339065690176,0.7907922732443294
V-DC (one port),101,0.9896534653465346,0.6331179323316821
Wire Crossover,223,0.993093973330201,0.6919624676599947
Zener Diode,72,0.9871405988974272,0.7305835377890253
