class,support,ap50,ap50_95
BJT-NPN,100,0.9806278869136013,0.7193618356757093
BJT-PNP,73,0.9648904761904765,0.7138583652219024
Capacitor,315,0.995,0.6596720790337872
Diode,139,0.9948561151079137,0.6885305881517121
GND,316,0.9907311549168372,0.6198102180363683
I-AC,69,0.9909908274785322,0.8136927277215571
I-DC,115,0.9894267123144977,0.7913856753375049
Inductor,327,0.9853728352352591,0.6620484202609328
MOSFET-N,54,0.8894374266725014,0.6698705889595569
MOSFET-P,44,0.8385317354041775,0.6650887354575671
Op-Amp,116,0.9942741935483871,0.7946433046640778
Resistor,470,0.9904489106616332,0.6681510697309414
V-AC,94,0.9875242365629211,0.7778575601580991
V-DC,154,0.9935294117647059,0.8048196931850498
V-DC (one port),102,0.995,0.6408945234152944
Wire Crossover,223,0.990799902152642,0.650056749195649
Zener Diode,75,0.985325925925926,0.6929957527260273
