class,support,ap50,ap50_95
BJT-NPN,100,0.9821682961556715,0.7119457341971291
BJT-PNP,73,0.9652141467727677,0.7142011911052459
Capacitor,315,0.995,0.6601406556570979
Diode,139,0.9944285714285713,0.6901369796943079
GND,316,0.9890473074447543,0.630512576254666
I-AC,69,0.995,0.843249713850945
I-DC,115,0.9904481242089126,0.7952245428796318
Inductor,327,0.9878839531680443,0.666012471898957
MOSFET-N,54,0.8895569649026236,0.6767568816247039
MOSFET-P,44,0.8489338619206108,0.6900567691881515
Op-Amp,116,0.9948290598290598,0.7906484418286024
Resistor,470,0.9924375043074624,0.6725974265805619
V-AC,94,0.9814616085668718,0.7763616899757718
V-DC,154,0.9938961038961038,0.8062003836633677
V-DC (one port),102,0.993921568627451,0.6218315713876397
Wire Crossover,223,0.9904610287511232,0.6417414999493329
Zener Diode,75,0.9846796747967481,0.6979388634520654
