image,n_pred,n_gt,matched,unmatched_pred,unmatched_gt,terminal_pair_precision,terminal_pair_recall,terminal_pair_f1,net_f1,per_component_connected_acc,per_component_recall_acc,nged,strict_success,spice_valid,solvable_before,solvable_after,num_assumptions,num_gauge
circuit_1013.jpg,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,1
circuit_1022.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,2
circuit_1025.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,2
circuit_1028.jpg,14,14,14,0,0,0.43529411764705883,0.9024390243902439,0.5873015873015872,0.7407407407407407,0.2857142857142857,0.6428571428571429,0.3333333333333333,False,1,0,0,3,2
circuit_1045.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,1
circuit_1048.jpg,24,24,24,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,True,1,1,1,2,1
circuit_1052.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,True,1,1,1,2,2
circuit_1059.jpg,14,14,13,1,1,0.3717948717948718,0.6444444444444445,0.47154471544715454,0.6296296296296297,0.0,0.0,0.27956989247311825,False,1,0,0,3,2
circuit_1080.jpg,17,16,16,1,0,0.8958333333333334,1.0,0.945054945054945,0.9722222222222222,0.75,1.0,0.3798449612403101,False,1,1,1,2,0
circuit_1095.jpg,19,19,19,0,0,1.0,0.8260869565217391,0.9047619047619047,0.9444444444444444,0.5789473684210527,0.5789473684210527,0.10077519379844961,False,1,0,1,3,2
circuit_1103.jpg,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,True,1,1,1,2,1
circuit_115.jpg,10,10,10,0,0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8421052631578947,0.6,0.6,0.15492957746478872,False,1,1,1,3,1
circuit_1150.jpg,8,7,7,1,0,0.6111111111111112,1.0,0.7586206896551725,0.9285714285714286,0.5714285714285714,1.0,0.11538461538461539,False,1,1,1,2,2
circuit_1156.jpg,19,19,19,0,0,0.9298245614035088,0.7681159420289855,0.8412698412698412,0.9166666666666666,0.42105263157894735,0.42105263157894735,0.10077519379844961,False,1,0,1,3,2
circuit_1175.jpg,30,30,27,3,3,0.46464646464646464,0.5476190476190477,0.5027322404371585,0.728813559322034,0.26666666666666666,0.26666666666666666,0.3627906976744186,False,1,1,1,2,1
circuit_118.jpg,23,23,23,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,True,1,1,1,2,1
circuit_1182.jpg,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.09523809523809523,True,1,1,1,2,1
circuit_1184.jpg,14,14,14,0,0,0.5942028985507246,0.9111111111111111,0.7192982456140351,0.8148148148148148,0.35714285714285715,0.6428571428571429,0.22580645161290322,False,1,0,0,2,2
circuit_1187.jpg,19,19,19,0,0,0.9298245614035088,0.7681159420289855,0.8412698412698412,0.9166666666666666,0.42105263157894735,0.42105263157894735,0.10077519379844961,False,1,0,1,3,2
circuit_1195.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.06896551724137931,True,1,1,1,2,2
circuit_1197.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,True,1,1,1,2,2
circuit_1207.jpg,13,13,13,0,0,0.8043478260869565,0.8043478260869565,0.8043478260869565,0.8461538461538461,0.46153846153846156,0.46153846153846156,0.2967032967032967,False,1,1,1,3,1
circuit_1222.jpg,15,15,15,0,0,0.6764705882352942,0.35384615384615387,0.46464646464646464,0.6764705882352942,0.13333333333333333,0.13333333333333333,0.23333333333333334,False,1,0,0,4,2
circuit_1234.jpg,6,6,6,0,0,0.8,0.7272727272727273,0.761904761904762,0.7999999999999999,0.3333333333333333,0.3333333333333333,0.07692307692307693,False,1,0,1,4,2
