stem,population,gt_solved,pred_solved,gt_category,pred_category,pred_repaired_solved,gt_op_degenerate_zero,gt_op_span_V,n_gt_nodes,n_pred_nodes,n_corresponded,n_agree,recall,precision,f1,f1_incl_ground,exact,max_abs_dv,median_abs_dv,f1_shipped_policy,n_gt_comps,n_pred_comps,aligned,unmatched_gt,unmatched_pred,net_f1_topology,terminal_pair_f1_topology,strict_success_topology
circuit_1013,both_solve,1,1,ok,ok,1,0,15.0,3,3,3,3,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,6,6,6,0,0,1.0,1.0,1
circuit_1022,both_solve,1,1,ok,ok,1,0,7.5,3,3,3,3,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,8,8,8,0,0,1.0,1.0,1
circuit_1025,both_solve,1,1,ok,ok,1,0,15.0,3,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,False,30.0,10.0,0.3333333333333333,8,8,8,0,0,1.0,1.0,1
circuit_1028,neither_solves,0,0,singular_matrix,singular_matrix,0,0,29.9875411,,,,,,,,,,,,,14,14,14,0,0,0.7407407407407407,0.5873015873015872,0
circuit_1045,both_solve,1,1,ok,ok,1,0,15.0,2,2,2,1,0.5,0.5,0.5,0.6666666666666666,False,30.0,15.0,0.5,7,7,7,0,0,1.0,1.0,1
circuit_1048,both_solve,1,1,ok,ok,1,0,14.96184809,15,14,14,13,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9032258064516129,False,0.0963200000000004,0.0,0.896551724137931,24,24,24,0,0,0.96,0.9342105263157895,0
circuit_1052,both_solve,1,1,ok,ok,1,0,2.0,4,4,4,4,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,7,7,7,0,0,1.0,1.0,1
circuit_1059,neither_solves,0,0,singular_matrix,singular_matrix,0,0,15.734799999984999,,,,,,,,,,,,,14,14,13,1,1,0.6296296296296297,0.47154471544715454,0
circuit_1080,only_gt_solves,1,0,ok,singular_matrix,0,0,29.3796395,,,,,,,,,,,,,16,17,16,0,1,0.9722222222222222,0.945054945054945,0
circuit_1095,neither_solves,0,0,singular_matrix,singular_matrix,1,0,14.7840252,,,,,,,,,,,,,19,19,19,0,0,0.9444444444444444,0.9047619047619047,0
circuit_1103,both_solve,1,1,ok,ok,1,0,15.0,3,3,3,3,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,5,5,5,0,0,1.0,1.0,1
circuit_115,both_solve,1,1,ok,ok,1,0,0.0,5,5,5,5,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,10,10,10,0,0,1.0,1.0,1
circuit_1150,both_solve,1,1,ok,ok,1,0,16.0,4,4,4,3,0.75,0.75,0.75,0.8000000000000002,False,2.0,0.0,0.75,7,8,7,0,1,0.962962962962963,0.88,0
circuit_1156,neither_solves,0,0,singular_matrix,singular_matrix,1,0,14.95140372,,,,,,,,,,,,,19,19,19,0,0,0.9166666666666666,0.8412698412698412,0
circuit_1175,both_solve,1,1,ok,ok,1,0,14.999999999999897,19,19,19,16,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.85,False,10.311368,0.0,0.8421052631578947,30,30,30,0,0,1.0,1.0,1
circuit_118,both_solve,1,1,ok,ok,1,0,14.5917432,15,15,15,15,1.0,1.0,1.0,1.0,True,9.999999999621423e-06,0.0,1.0,23,23,23,0,0,1.0,1.0,1
circuit_1182,both_solve,1,1,ok,ok,1,0,7.5,3,3,3,3,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,6,6,6,0,0,1.0,1.0,1
circuit_1184,neither_solves,0,0,singular_matrix,singular_matrix,0,0,15.734799999984999,,,,,,,,,,,,,14,14,14,0,0,0.8148148148148148,0.7192982456140351,0
circuit_1187,neither_solves,0,0,singular_matrix,singular_matrix,1,0,14.90749309,,,,,,,,,,,,,19,19,19,0,0,0.9166666666666666,0.8412698412698412,0
circuit_1195,both_solve,1,1,ok,ok,1,0,15.0,5,5,5,1,0.2,0.2,0.20000000000000004,0.3333333333333333,False,30.0,2.0,0.20000000000000004,8,8,8,0,0,1.0,1.0,1
circuit_1197,both_solve,1,1,ok,ok,1,0,15.0,3,3,3,3,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,7,7,7,0,0,1.0,1.0,1
circuit_1207,only_pred_solves,0,1,singular_matrix,ok,1,0,0.0,,,,,,,,,,,,,13,13,13,0,0,0.8076923076923077,0.7727272727272727,0
circuit_1222,neither_solves,0,0,singular_matrix,singular_matrix,0,0,1000000015.0,,,,,,,,,,,,,15,15,15,0,0,0.6764705882352942,0.46464646464646464,0
circuit_1234,both_solve,1,1,ok,ok,1,0,1.0,3,3,3,3,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,6,6,6,0,0,1.0,1.0,1
circuit_1238,only_gt_solves,1,0,ok,singular_matrix,0,0,1500015.0,,,,,,,,,,,,,24,24,23,1,1,0.6170212765957447,0.35526315789473684,0
circuit_1240,only_gt_solves,1,0,ok,singular_matrix,0,0,1500015.0,,,,,,,,,,,,,24,24,24,0,0,0.6382978723404256,0.35526315789473684,0
circuit_1247,both_solve,1,1,ok,ok,1,0,2.745939999999999,16,15,15,5,0.3125,0.3333333333333333,0.3225806451612903,0.30303030303030304,False,14.674441810000001,7.341673,0.3225806451612903,22,22,22,0,0,1.0,1.0,1
circuit_1253,both_solve,1,1,ok,ok,1,0,25.0,7,7,7,7,1.0,1.0,1.0,1.0,True,0.0,0.0,1.0,12,12,12,0,0,1.0,1.0,1
circuit_1259,both_solve,1,1,ok,ok,1,0,14.0,4,4,4,2,0.5,0.5,0.5,0.6,False,30.0,7.5,1.0,8,8,8,0,0,1.0,1.0,1
circuit_1264,neither_solves,0,0,singular_matrix,singular_matrix,1,0,1000000015.0,,,,,,,,,,,,,15,16,15,0,1,0.5915492957746479,0.3255813953488373,0
circuit_1273,both_solve,1,1,ok,ok,1,0,14.5917432,15,15,15,13,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.875,False,0.3668199999999988,0.0,0.8666666666666667,23,23,23,0,0,1.0,1.0,1
circuit_1275,both_solve,1,1,ok,ok,1,0,15.0,3,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,False,30.0,0.0,0.6666666666666666,7,7,7,0,0,1.0,1.0,1
circuit_129,both_solve,1,1,ok,ok,1,0,14.0,3,3,3,0,0.0,0.0,0.0,0.25,False,30.0,30.0,0.0,7,7,7,0,0,1.0,1.0,1
circuit_131,both_solve,1,1,ok,ok,1,0,15.0,4,4,4,1,0.25,0.25,0.25,0.4000000000000001,False,30.0,30.0,0.25,8,8,8,0,0,1.0,1.0,1
circuit_132,neither_solves,0,0,singular_matrix,singular_matrix,1,0,14.90376221,,,,,,,,,,,,,19,19,19,0,0,0.9166666666666666,0.8412698412698412,0
circuit_140,only_gt_solves,1,0,ok,singular_matrix,0,0,14.5917432,,,,,,,,,,,,,23,21,21,2,0,0.782608695652174,0.6923076923076923,0
circuit_142,only_gt_solves,1,0,ok,singular_matrix,0,0,1500015.0,,,,,,,,,,,,,23,24,23,0,1,0.6451612903225806,0.36879432624113473,0
circuit_147,both_solve,1,1,ok,ok,1,0,0.0,5,5,5,2,0.4,0.4,0.4000000000000001,0.5,False,30.0,15.0,0.4000000000000001,9,9,9,0,0,1.0,1.0,1
