image,net,correct,size,intersections,unsnapped_nearby
circuit_1.jpg,n5,1,2,10,0
circuit_1.jpg,n4,0,4,3,0
circuit_1.jpg,n6,0,3,4,0
circuit_1.jpg,n3,0,7,8,0
circuit_1.jpg,n8,1,3,1,0
circuit_1.jpg,0,0,7,12,0
circuit_1.jpg,n2,0,4,6,0
circuit_1.jpg,n1,0,2,0,0
circuit_1.jpg,n7,0,2,1,0
circuit_1016.jpg,n6,0,2,0,0
circuit_1016.jpg,0,0,8,7,0
circuit_1016.jpg,n1,0,4,4,0
circuit_1016.jpg,n5,0,4,4,0
circuit_1016.jpg,n3,1,4,4,0
circuit_1016.jpg,n9,0,3,6,0
circuit_1016.jpg,n4,0,3,6,0
circuit_1016.jpg,n8,1,3,1,0
circuit_1016.jpg,n7,0,4,1,0
circuit_1016.jpg,n2,0,2,1,0
circuit_1018.jpg,0,1,4,4,0
circuit_1018.jpg,n1,0,2,1,0
circuit_1018.jpg,n2,0,3,1,0
circuit_1018.jpg,n3,0,2,1,0
circuit_1074.jpg,n5,1,3,2,0
circuit_1074.jpg,n4,1,5,5,0
circuit_1074.jpg,n8,0,3,3,0
circuit_1074.jpg,n10,0,6,7,0
circuit_1074.jpg,n12,0,2,1,0
circuit_1074.jpg,n11,0,3,3,0
circuit_1074.jpg,n13,0,3,2,0
circuit_1074.jpg,n16,0,2,1,0
circuit_1074.jpg,n14,0,3,4,0
circuit_1074.jpg,n17,0,2,0,0
circuit_1074.jpg,n15,1,3,1,0
circuit_1074.jpg,n2,0,4,4,0
circuit_1074.jpg,n9,0,2,1,0
circuit_1074.jpg,n3,0,3,3,0
circuit_1074.jpg,n1,0,3,2,0
circuit_1074.jpg,n7,0,2,1,0
circuit_1074.jpg,0,0,2,0,0
circuit_1074.jpg,n6,1,3,3,0
circuit_1076.jpg,n10,0,3,5,0
circuit_1076.jpg,n9,0,3,2,0
circuit_1076.jpg,0,0,2,1,0
circuit_1076.jpg,n2,0,3,2,0
circuit_1076.jpg,n1,0,3,4,0
circuit_1076.jpg,n5,0,2,1,0
circuit_1076.jpg,n8,0,2,0,0
circuit_1076.jpg,n7,0,5,6,0
circuit_1076.jpg,n11,0,3,3,0
circuit_1076.jpg,n12,0,2,1,0
circuit_1076.jpg,n15,0,3,4,0
circuit_1076.jpg,n14,0,3,3,0
circuit_1076.jpg,n16,0,2,1,0
circuit_1076.jpg,n4,1,3,2,0
circuit_1076.jpg,n3,1,3,3,0
circuit_1076.jpg,n13,0,2,0,0
circuit_1076.jpg,n6,1,3,12,0
circuit_1077.jpg,n4,1,2,1,0
circuit_1077.jpg,0,1,4,7,0
circuit_1077.jpg,n1,1,3,3,0
circuit_1077.jpg,n3,1,2,2,0
circuit_1077.jpg,n2,1,2,0,0
circuit_1079.jpg,n6,0,7,5,0
circuit_1079.jpg,n5,0,2,0,0
circuit_1079.jpg,n9,1,2,1,0
circuit_1079.jpg,n7,1,3,1,0
circuit_1079.jpg,n12,1,2,1,0
circuit_1079.jpg,n13,0,3,2,0
circuit_1079.jpg,n16,0,2,4,0
circuit_1079.jpg,0,0,3,3,0
circuit_1079.jpg,n15,0,2,1,0
circuit_1079.jpg,n2,0,1,0,0
circuit_1079.jpg,n4,0,3,2,0
circuit_1079.jpg,n14,1,3,7,0
circuit_1079.jpg,n10,1,3,3,0
circuit_1079.jpg,n3,0,1,2,0
circuit_1079.jpg,n8,0,4,2,0
circuit_1079.jpg,n20,0,1,2,0
circuit_1079.jpg,n18,1,2,0,0
circuit_1079.jpg,n1,0,1,1,0
circuit_1079.jpg,n11,1,2,0,0
circuit_1079.jpg,n19,0,1,0,0
circuit_1079.jpg,n17,0,1,2,0
circuit_1087.jpg,n2,1,4,3,0
circuit_1087.jpg,n5,1,2,1,0
circuit_1087.jpg,0,1,4,3,0
circuit_1087.jpg,n3,1,3,3,0
circuit_1087.jpg,n1,1,2,3,0
circuit_1087.jpg,n4,1,2,1,0
circuit_1093.jpg,n3,1,2,1,0
circuit_1093.jpg,n4,0,6,5,0
circuit_1093.jpg,n5,1,6,5,0
circuit_1093.jpg,n7,0,5,10,0
circuit_1093.jpg,n6,1,4,1,0
circuit_1093.jpg,n2,1,3,3,0
circuit_1093.jpg,n8,1,2,1,0
circuit_1093.jpg,n1,0,4,2,0
circuit_1093.jpg,0,0,2,0,0
circuit_1094.jpg,n2,1,2,0,0
circuit_1094.jpg,n3,1,2,1,0
circuit_1094.jpg,0,1,4,4,0
circuit_1094.jpg,n1,1,3,9,0
circuit_1097.jpg,n2,1,2,1,0
circuit_1097.jpg,n3,1,3,1,0
circuit_1097.jpg,n4,0,2,1,1
circuit_1097.jpg,n6,1,2,2,0
circuit_1097.jpg,0,0,6,4,0
circuit_1097.jpg,n5,0,3,2,0
circuit_1097.jpg,n1,0,1,5,0
circuit_1097.jpg,n7,0,3,0,0
circuit_1111.jpg,n2,0,3,2,0
circuit_1111.jpg,n8,0,2,0,0
circuit_1111.jpg,n11,0,3,1,0
circuit_1111.jpg,n14,0,2,0,0
circuit_1111.jpg,n15,0,3,1,0
circuit_1111.jpg,n16,0,3,3,0
circuit_1111.jpg,0,0,2,0,0
circuit_1111.jpg,n10,0,3,1,0
circuit_1111.jpg,n9,0,3,0,0
circuit_1111.jpg,n12,0,2,1,0
circuit_1111.jpg,n7,0,5,12,0
circuit_1111.jpg,n3,1,3,1,0
circuit_1111.jpg,n4,1,3,3,0
circuit_1111.jpg,n13,0,2,0,0
circuit_1111.jpg,n1,0,3,2,0
circuit_1111.jpg,n6,0,2,1,0
circuit_1111.jpg,n5,1,3,4,0
circuit_1121.jpg,n3,1,2,0,0
circuit_1121.jpg,0,0,4,2,1
circuit_1121.jpg,n2,1,2,1,0
circuit_1121.jpg,n1,0,3,1,1
circuit_1122.jpg,n6,0,4,2,0
circuit_1122.jpg,n7,1,3,2,0
circuit_1122.jpg,n5,1,6,9,0
circuit_1122.jpg,n4,0,6,3,0
circuit_1122.jpg,n9,1,2,2,0
circuit_1122.jpg,n3,1,3,1,0
circuit_1122.jpg,n8,1,4,2,0
circuit_1122.jpg,n2,1,4,4,0
circuit_1122.jpg,n1,1,2,1,0
circuit_1122.jpg,0,0,2,0,0
circuit_1124.jpg,n7,1,3,2,0
circuit_1124.jpg,n4,1,4,2,0
circuit_1124.jpg,n6,0,6,4,0
circuit_1124.jpg,n8,1,4,4,0
circuit_1124.jpg,n2,1,4,3,1
circuit_1124.jpg,n5,1,6,3,0
circuit_1124.jpg,n3,1,3,3,0
circuit_1124.jpg,n9,1,2,0,0
circuit_1124.jpg,0,0,2,1,0
circuit_1124.jpg,n1,0,1,0,0
circuit_1127.jpg,n3,1,3,2,0
circuit_1127.jpg,0,1,4,2,0
circuit_1127.jpg,n1,1,4,3,0
circuit_1127.jpg,n2,1,4,8,0
circuit_113.jpg,n2,1,3,3,0
circuit_113.jpg,n4,0,3,5,0
circuit_113.jpg,n6,0,2,1,0
circuit_113.jpg,n13,0,2,3,1
circuit_113.jpg,n10,1,3,1,0
circuit_113.jpg,n9,0,3,2,0
circuit_113.jpg,n12,0,2,1,0
circuit_113.jpg,n8,0,2,0,0
circuit_113.jpg,n7,0,5,16,0
circuit_113.jpg,n14,0,2,1,0
circuit_113.jpg,n1,1,3,1,0
circuit_113.jpg,n3,1,3,2,0
circuit_113.jpg,n5,1,3,6,0
circuit_113.jpg,n15,1,3,4,0
circuit_113.jpg,0,0,2,0,0
circuit_113.jpg,n16,0,3,2,0
circuit_113.jpg,n11,0,1,1,0
circuit_1133.jpg,n3,1,4,5,0
circuit_1133.jpg,0,0,9,20,0
circuit_1133.jpg,n1,1,5,17,0
circuit_1133.jpg,n2,1,4,4,0
circuit_1133.jpg,n4,1,2,1,0
circuit_1133.jpg,n5,1,2,0,0
circuit_1134.jpg,0,0,25,32,0
circuit_1134.jpg,n1,1,2,1,0
circuit_1134.jpg,n3,0,1,0,0
circuit_1134.jpg,n2,0,1,0,0
circuit_1135.jpg,n1,1,2,0,0
circuit_1135.jpg,0,1,4,4,0
circuit_1135.jpg,n3,1,3,1,0
circuit_1135.jpg,n2,1,2,1,0
circuit_1145.jpg,n1,1,3,2,0
circuit_1145.jpg,0,1,5,7,0
circuit_1145.jpg,n2,1,3,1,0
circuit_1153.jpg,n8,0,6,10,0
circuit_1153.jpg,n1,0,3,1,0
circuit_1153.jpg,n2,0,5,20,0
circuit_1153.jpg,n3,1,4,5,0
circuit_1153.jpg,n7,0,2,0,0
circuit_1153.jpg,0,0,2,1,0
circuit_1153.jpg,n5,1,3,3,0
circuit_1153.jpg,n4,1,3,2,0
circuit_1153.jpg,n12,0,2,1,0
circuit_1153.jpg,n9,1,3,11,0
circuit_1153.jpg,n10,1,3,2,0
circuit_1153.jpg,n17,0,2,1,0
circuit_1153.jpg,n14,1,3,8,0
circuit_1153.jpg,n16,1,3,2,0
circuit_1153.jpg,n11,1,3,3,0
circuit_1153.jpg,n13,0,2,1,0
circuit_1153.jpg,n6,1,3,10,0
circuit_1153.jpg,n15,0,2,0,0
circuit_1162.jpg,n2,1,2,0,0
circuit_1162.jpg,n3,1,4,4,0
circuit_1162.jpg,n5,1,6,6,0
circuit_1162.jpg,n7,1,5,6,0
circuit_1162.jpg,n4,0,6,6,0
circuit_1162.jpg,n6,1,4,4,0
circuit_1162.jpg,n1,1,3,7,0
circuit_1162.jpg,n8,1,2,1,0
circuit_1162.jpg,0,1,2,0,0
circuit_1166.jpg,n8,1,3,3,0
circuit_1166.jpg,n5,1,2,2,0
circuit_1166.jpg,n10,1,2,1,0
circuit_1166.jpg,0,1,8,17,0
circuit_1166.jpg,n9,1,3,4,0
circuit_1166.jpg,n3,1,2,1,0
circuit_1166.jpg,n4,1,5,14,0
circuit_1166.jpg,n13,1,2,3,0
circuit_1166.jpg,n6,1,3,2,0
circuit_1166.jpg,n11,1,2,2,0
circuit_1166.jpg,n1,1,3,7,0
circuit_1166.jpg,n7,1,4,3,0
circuit_1166.jpg,n14,1,3,4,0
circuit_1166.jpg,n12,1,2,0,0
circuit_1166.jpg,n2,1,3,2,0
circuit_1166.jpg,n15,1,2,0,0
circuit_1172.jpg,n5,1,2,2,0
circuit_1172.jpg,n10,0,3,2,0
circuit_1172.jpg,0,0,11,11,0
circuit_1172.jpg,n6,0,4,1,0
circuit_1172.jpg,n11,0,2,0,0
circuit_1172.jpg,n8,1,3,2,0
circuit_1172.jpg,n9,1,2,1,0
circuit_1172.jpg,n2,0,3,1,0
circuit_1172.jpg,n7,1,3,1,0
circuit_1172.jpg,n12,1,2,0,0
circuit_1172.jpg,n4,0,6,6,0
circuit_1172.jpg,n13,1,2,1,0
circuit_1172.jpg,n14,0,2,0,0
circuit_1172.jpg,n1,0,4,6,0
circuit_1172.jpg,n3,1,3,3,0
circuit_1183.jpg,0,0,5,6,0
circuit_1183.jpg,n3,0,2,3,0
circuit_1183.jpg,n2,0,2,1,0
circuit_1183.jpg,n1,1,2,0,0
circuit_1194.jpg,n12,0,2,1,0
circuit_1194.jpg,n10,1,3,2,0
circuit_1194.jpg,n9,1,3,2,0
circuit_1194.jpg,n7,0,5,7,0
circuit_1194.jpg,n4,1,3,2,0
circuit_1194.jpg,n2,1,3,3,0
circuit_1194.jpg,n3,0,3,2,0
circuit_1194.jpg,n8,0,2,0,0
circuit_1194.jpg,0,0,2,1,0
circuit_1194.jpg,n11,0,3,2,0
circuit_1194.jpg,n6,0,2,0,0
circuit_1194.jpg,n1,1,3,1,0
circuit_1194.jpg,n16,0,2,1,0
circuit_1194.jpg,n13,1,3,2,0
circuit_1194.jpg,n14,1,3,2,0
circuit_1194.jpg,n15,0,2,0,0
circuit_1194.jpg,n5,1,3,5,0
circuit_1201.jpg,n4,0,2,1,0
circuit_1201.jpg,n8,1,2,0,0
circuit_1201.jpg,n10,0,3,3,0
circuit_1201.jpg,n9,1,2,0,0
circuit_1201.jpg,n14,0,3,11,0
circuit_1201.jpg,n11,1,3,1,0
circuit_1201.jpg,0,0,8,15,0
circuit_1201.jpg,n2,0,1,0,0
circuit_1201.jpg,n6,0,5,5,0
circuit_1201.jpg,n3,0,3,2,0
circuit_1201.jpg,n1,0,2,1,0
circuit_1201.jpg,n7,1,4,1,0
circuit_1201.jpg,n12,1,2,2,0
circuit_1201.jpg,n13,1,2,0,0
circuit_1201.jpg,n5,1,3,1,0
circuit_1201.jpg,n15,1,2,1,0
circuit_1202.jpg,n2,1,5,4,0
circuit_1202.jpg,0,1,6,7,0
circuit_1202.jpg,n1,1,2,1,0
circuit_1203.jpg,0,1,5,16,0
circuit_1203.jpg,n3,1,3,12,0
circuit_1203.jpg,n1,1,2,1,0
