image,x,y,label,degree,dark_at_site,dark_ratio,dark_peak,dark_area,stroke_dark
circuit_1.jpg,546,160,1,3,-0.3758,0.1564,0.0697,0,3.0
circuit_1.jpg,580,160,1,2,-0.5823,0.1068,0.0697,0,3.0
circuit_1.jpg,88,161,0,2,-0.4708,0.1289,0.0697,0,3.0
circuit_1.jpg,204,162,0,2,-0.9601,0.0676,0.0697,0,3.0
circuit_1.jpg,322,162,0,3,-0.7225,0.0879,0.0697,0,3.0
circuit_1.jpg,81,182,0,2,-0.8739,0.0738,0.0697,0,3.0
circuit_1.jpg,236,282,1,2,-0.3369,0.1713,0.0697,0,3.0
circuit_1.jpg,546,344,1,4,-0.2346,0.2289,0.0697,0,3.0
circuit_1.jpg,526,346,0,2,-0.8077,0.0794,0.0697,0,3.0
circuit_1.jpg,312,347,0,2,-0.587,0.1061,0.0697,0,3.0
circuit_1.jpg,952,423,1,2,-0.4481,0.1345,0.0697,0,3.0
circuit_1.jpg,885,449,0,2,-0.5776,0.1076,0.0697,0,3.0
circuit_1.jpg,237,472,1,2,-0.3994,0.1485,0.0697,0,3.0
circuit_1.jpg,950,486,1,3,-0.5012,0.122,0.0697,0,3.0
circuit_1.jpg,928,487,0,4,-0.7987,0.0802,0.0697,0,3.0
circuit_1.jpg,74,490,1,3,-0.4835,0.1259,0.0697,0,3.0
circuit_1.jpg,237,491,1,3,-0.559,0.1108,0.0697,0,3.0
circuit_1.jpg,703,489,1,2,-0.84,0.0766,0.0697,0,3.0
circuit_1.jpg,260,492,1,2,-0.9357,0.0693,0.0697,0,3.0
circuit_1.jpg,726,492,1,2,-1.067,0.0613,0.0697,0,3.0
circuit_1.jpg,788,494,1,2,-0.7846,0.0815,0.0697,0,3.0
circuit_1.jpg,947,507,1,4,-0.6081,0.1028,0.0697,0,3.0
circuit_1.jpg,929,504,0,3,-0.7625,0.0837,0.0697,0,3.0
circuit_1.jpg,284,551,1,2,-0.8549,0.0753,0.0697,0,3.0
circuit_1.jpg,420,554,1,3,-0.3837,0.1537,0.0697,0,3.0
circuit_1.jpg,946,568,1,3,-0.9437,0.0687,0.0697,0,3.0
circuit_1.jpg,964,571,1,3,-1.0635,0.0615,0.0697,0,3.0
circuit_1.jpg,979,572,0,3,-0.4792,0.1269,0.0697,0,3.0
circuit_1.jpg,570,582,0,3,-0.2026,0.2558,0.0697,0,3.0
circuit_1.jpg,986,590,0,4,-0.879,0.0734,0.0697,0,3.0
circuit_1.jpg,976,590,0,3,-1.2315,0.0535,0.0697,0,3.0
circuit_1.jpg,786,591,1,3,-0.3989,0.1486,0.0697,0,3.0
circuit_1.jpg,945,652,0,1,-0.6331,0.0991,0.0697,0,3.0
circuit_1.jpg,947,679,0,2,-0.589,0.1058,0.0697,0,3.0
circuit_1.jpg,444,712,1,2,-1.0364,0.063,0.0697,0,3.0
circuit_1.jpg,951,757,0,4,-0.5546,0.1116,0.0697,0,3.0
circuit_1.jpg,961,757,0,2,-0.7454,0.0855,0.0697,0,3.0
circuit_1.jpg,86,758,0,2,-0.9453,0.0686,0.0697,0,3.0
circuit_1.jpg,574,758,0,3,-0.4337,0.1384,0.0697,0,3.0
circuit_1.jpg,770,758,0,3,-0.3447,0.1681,0.0697,0,3.0
circuit_1.jpg,884,758,0,3,-0.2062,0.2525,0.0697,0,3.0
circuit_1.jpg,100,759,0,2,-0.7256,0.0876,0.0697,0,3.0
circuit_1.jpg,110,760,0,2,-0.8335,0.0771,0.0697,0,3.0
circuit_1.jpg,414,761,0,3,-0.5924,0.1052,0.0697,0,3.0
circuit_1.jpg,278,764,0,3,-0.7159,0.0887,0.0697,0,3.0
circuit_1016.jpg,430,290,1,2,-0.8494,0.052,0.0466,0,2.0
circuit_1016.jpg,494,289,1,3,-0.3771,0.11,0.0466,0,2.0
circuit_1016.jpg,66,294,0,2,-0.892,0.0497,0.0466,0,2.0
circuit_1016.jpg,256,293,1,3,-0.574,0.0751,0.0466,0,2.0
circuit_1016.jpg,680,293,1,2,-0.8493,0.052,0.0466,0,2.0
circuit_1016.jpg,384,416,0,2,-0.4622,0.0916,0.0466,0,2.0
circuit_1016.jpg,497,441,1,4,-0.2881,0.1392,0.0466,0,2.0
circuit_1016.jpg,687,440,1,2,-0.4964,0.0858,0.0466,0,2.0
circuit_1016.jpg,294,444,1,2,-1.1927,0.0376,0.0466,0,2.0
circuit_1016.jpg,472,443,1,2,-0.9554,0.0465,0.0466,0,2.0
circuit_1016.jpg,380,500,0,2,-0.4008,0.1042,0.0466,0,2.0
circuit_1016.jpg,380,516,0,2,-0.4631,0.0914,0.0466,0,2.0
circuit_1016.jpg,73,532,1,3,-0.5216,0.082,0.0466,0,2.0
circuit_1016.jpg,209,534,1,3,-0.4798,0.0885,0.0466,0,2.0
circuit_1016.jpg,282,533,1,2,-0.9473,0.0469,0.0466,0,2.0
circuit_1016.jpg,302,534,1,2,-0.9385,0.0473,0.0466,0,2.0
circuit_1016.jpg,385,534,1,3,-0.6211,0.0698,0.0466,0,2.0
circuit_1016.jpg,376,542,0,2,-0.6719,0.0649,0.0466,0,2.0
circuit_1016.jpg,687,566,0,3,-0.33,0.1237,0.0466,0,2.0
