image,x,y,label,degree,dark_at_site,dark_peak,dark_excess_area,stroke_dark_local
circuit_1.jpg,546,160,1,3,-0.0578,1.6699,11,103.0
circuit_1.jpg,580,160,1,2,-0.017,1.6641,10,98.0
circuit_1.jpg,88,161,0,2,-0.1748,1.6759,9,86.0
circuit_1.jpg,204,162,0,2,-0.3105,1.2686,10,117.0
circuit_1.jpg,322,162,0,3,0.0667,1.609,21,96.0
circuit_1.jpg,81,182,0,2,-0.074,1.5652,10,94.0
circuit_1.jpg,236,282,1,2,-0.1869,1.4422,10,81.0
circuit_1.jpg,546,344,1,4,0.3151,1.4963,20,78.0
circuit_1.jpg,526,346,0,2,-0.4505,1.0076,1,96.0
circuit_1.jpg,312,347,0,2,0.0928,2.0755,14,90.0
circuit_1.jpg,952,423,1,2,0.0309,1.5452,15,84.0
circuit_1.jpg,885,449,0,2,-0.2888,1.1948,3,84.0
circuit_1.jpg,237,472,1,2,0.0974,1.8479,20,76.0
circuit_1.jpg,950,486,1,3,-0.2587,1.6818,13,84.0
circuit_1.jpg,928,487,0,4,-0.2248,1.7014,2,78.0
circuit_1.jpg,74,490,1,3,0.1133,2.2368,17,78.0
circuit_1.jpg,237,491,1,3,0.0266,1.3057,10,77.0
circuit_1.jpg,703,489,1,2,-0.2356,1.426,15,81.0
circuit_1.jpg,260,492,1,2,-0.1029,0.8972,0,86.0
circuit_1.jpg,726,492,1,2,-0.2127,1.2972,4,87.0
circuit_1.jpg,788,494,1,2,-0.2209,2.1501,8,90.0
circuit_1.jpg,947,507,1,4,-0.0786,2.0087,21,79.0
circuit_1.jpg,929,504,0,3,-0.3532,1.4356,3,76.0
circuit_1.jpg,284,551,1,2,-0.1124,1.7544,17,83.0
circuit_1.jpg,420,554,1,3,-0.0618,1.4759,8,74.0
circuit_1.jpg,946,568,1,3,-0.0217,1.4751,7,80.5
circuit_1.jpg,964,571,1,3,-0.1726,1.3325,4,82.0
circuit_1.jpg,979,572,0,3,-0.1329,2.042,7,84.0
circuit_1.jpg,570,582,0,3,0.1577,1.4164,11,74.0
circuit_1.jpg,986,590,0,4,-0.1119,1.539,11,85.0
circuit_1.jpg,976,590,0,3,-0.2121,1.35,3,83.0
circuit_1.jpg,786,591,1,3,0.0876,1.9872,17,78.0
circuit_1.jpg,945,652,0,1,-0.1899,1.7661,18,84.0
circuit_1.jpg,947,679,0,2,-0.1943,1.4735,8,84.0
circuit_1.jpg,444,712,1,2,-0.3613,1.1142,1,90.0
circuit_1.jpg,951,757,0,4,-0.3817,1.785,10,94.0
circuit_1.jpg,961,757,0,2,-0.4567,1.2334,3,89.0
circuit_1.jpg,86,758,0,2,0.0411,1.8153,16,111.0
circuit_1.jpg,574,758,0,3,0.0273,1.2068,4,68.0
circuit_1.jpg,770,758,0,3,0.0452,1.5192,10,76.0
circuit_1.jpg,884,758,0,3,0.1675,1.7762,11,71.0
circuit_1.jpg,100,759,0,2,0.3132,1.786,26,114.0
circuit_1.jpg,110,760,0,2,0.1256,1.7971,18,117.0
circuit_1.jpg,414,761,0,3,0.063,1.9715,19,80.0
circuit_1.jpg,278,764,0,3,-0.0053,1.785,20,86.0
circuit_1016.jpg,430,290,1,2,0.0112,0.801,0,89.0
circuit_1016.jpg,494,289,1,3,0.0566,1.9651,20,86.0
circuit_1016.jpg,66,294,0,2,-0.2158,2.1927,13,84.0
circuit_1016.jpg,256,293,1,3,0.1438,1.5985,23,79.0
circuit_1016.jpg,680,293,1,2,0.0154,1.8081,16,91.0
circuit_1016.jpg,384,416,0,2,-0.1712,1.52,4,85.0
circuit_1016.jpg,497,441,1,4,0.1281,1.3858,16,71.0
circuit_1016.jpg,687,440,1,2,-0.1707,1.7962,10,83.0
circuit_1016.jpg,294,444,1,2,-0.1597,1.406,1,81.0
circuit_1016.jpg,472,443,1,2,-0.2792,1.4322,1,78.0
circuit_1016.jpg,380,500,0,2,0.0583,1.7316,9,73.0
circuit_1016.jpg,380,516,0,2,-0.1426,1.918,12,76.0
circuit_1016.jpg,73,532,1,3,-0.0436,1.9134,12,73.0
circuit_1016.jpg,209,534,1,3,0.0209,2.1356,25,75.0
circuit_1016.jpg,282,533,1,2,-0.2976,1.9527,3,74.0
circuit_1016.jpg,302,534,1,2,-0.1791,1.4243,4,76.0
circuit_1016.jpg,385,534,1,3,-0.0356,1.5047,12,74.0
circuit_1016.jpg,376,542,0,2,-0.1638,1.2083,1,73.0
circuit_1016.jpg,687,566,0,3,-0.0005,1.3577,11,75.5
circuit_1016.jpg,499,568,0,3,0.05,1.8194,16,72.0
circuit_1016.jpg,768,573,0,2,-0.3187,0.9089,0,79.0
circuit_1016.jpg,371,578,0,3,0.1104,1.999,14,71.0
circuit_1016.jpg,255,581,0,2,-0.1194,1.872,7,71.0
circuit_1016.jpg,799,589,0,2,-0.5072,1.0665,1,74.0
circuit_1016.jpg,828,588,0,3,-0.096,1.4665,9,72.0
circuit_1016.jpg,834,610,0,3,-0.2156,1.1069,1,68.0
circuit_1016.jpg,844,614,0,2,-0.1278,1.6717,13,69.0
circuit_1016.jpg,372,661,0,2,-0.0434,1.7278,18,76.0
circuit_1016.jpg,737,667,0,2,-0.2699,1.7969,6,75.0
circuit_1016.jpg,247,702,0,3,-0.232,1.4279,13,70.0
circuit_1016.jpg,498,704,0,3,-0.0406,1.8503,12,71.0
circuit_1016.jpg,466,706,0,3,-0.0433,1.5231,8,70.0
circuit_1016.jpg,685,705,0,3,0.0242,1.8881,19,71.0
circuit_1016.jpg,796,710,0,3,0.0283,1.4589,12,73.0
circuit_1016.jpg,852,711,0,2,-0.0869,0.7387,0,74.0
circuit_1016.jpg,896,712,0,2,0.0285,1.7608,7,75.0
circuit_1018.jpg,492,402,1,3,0.1671,1.7581,17,99.0
circuit_1018.jpg,241,404,0,2,0.0779,1.6343,18,104.0
circuit_1018.jpg,804,419,0,1,-0.072,1.7253,9,99.0
circuit_1018.jpg,502,600,1,3,0.147,1.7253,14,89.0
circuit_1018.jpg,446,611,1,2,-0.4153,1.1434,4,105.0
circuit_1018.jpg,406,613,1,2,-0.3171,1.2325,1,102.5
circuit_1018.jpg,243,620,1,2,0.187,2.0486,19,94.0
circuit_1074.jpg,817,238,0,2,0.0286,1.8595,19,100.0
circuit_1074.jpg,667,267,0,2,-0.0514,1.5823,12,103.5
circuit_1074.jpg,560,268,0,2,0.0073,2.451,17,101.0
circuit_1074.jpg,384,271,0,2,0.1419,2.1734,32,98.0
circuit_1074.jpg,67,278,0,2,0.0558,1.9328,24,104.0
circuit_1074.jpg,96,280,0,3,0.1847,2.0674,19,101.0
circuit_1074.jpg,224,282,0,2,0.0405,1.7922,13,102.0
circuit_1074.jpg,671,304,0,2,-0.4607,1.4753,5,91.0
circuit_1074.jpg,672,325,0,3,-0.3082,1.5323,7,84.0
circuit_1074.jpg,564,340,0,3,-0.1108,2.4588,29,98.0
circuit_1074.jpg,829,342,0,3,-0.1222,1.5121,14,100.0
circuit_1074.jpg,388,348,0,3,-0.1108,2.0082,18,97.0
circuit_1074.jpg,226,358,0,3,-0.0829,1.6288,14,88.0
circuit_1074.jpg,563,361,0,3,-0.106,1.9354,18,91.0
circuit_1074.jpg,532,365,0,2,-0.2068,1.2205,3,99.0
circuit_1074.jpg,704,382,0,2,-0.4527,1.1303,2,92.0
circuit_1074.jpg,400,405,0,2,-0.3574,1.3005,6,98.0
circuit_1074.jpg,96,410,0,1,-0.0513,1.6553,11,91.0
circuit_1074.jpg,399,422,0,2,-0.2027,1.6216,7,102.0
circuit_1074.jpg,793,470,1,2,-0.1372,1.4859,6,91.5
circuit_1074.jpg,678,478,1,2,0.0316,1.1995,4,97.0
circuit_1074.jpg,760,488,1,2,0.0,1.5154,5,89.0
circuit_1074.jpg,729,487,1,2,-0.344,1.503,4,87.0
circuit_1074.jpg,738,493,1,2,0.1717,1.8717,13,88.5
circuit_1074.jpg,394,500,0,3,-0.0678,1.7673,12,87.0
