image,sites,labeled,unlabeled,load_bearing,welds,nodes_with_multiple_gt_nets,nodes_total
circuit_1.jpg,27,2,25,19,18,7,8
circuit_1016.jpg,19,2,17,14,14,6,7
circuit_1018.jpg,5,0,5,1,1,4,5
circuit_1074.jpg,20,0,20,15,14,13,15
circuit_1076.jpg,32,0,32,24,23,14,15
circuit_1077.jpg,9,0,9,6,5,4,4
circuit_1079.jpg,26,2,24,18,14,12,24
circuit_1087.jpg,14,0,14,10,9,6,7
circuit_1093.jpg,19,0,19,17,15,7,11
circuit_1094.jpg,10,0,10,6,5,2,4
circuit_1097.jpg,6,0,6,4,2,3,6
circuit_1111.jpg,23,0,23,13,13,13,15
circuit_1121.jpg,5,0,5,3,3,4,4
circuit_1122.jpg,16,0,16,13,10,8,12
circuit_1124.jpg,13,0,13,13,13,9,10
circuit_1127.jpg,13,0,13,8,6,4,5
circuit_113.jpg,27,0,27,20,19,12,15
circuit_1133.jpg,35,14,21,18,18,1,1
circuit_1134.jpg,32,15,17,16,16,1,1
circuit_1135.jpg,8,0,8,5,2,3,4
circuit_1145.jpg,9,0,9,6,6,2,4
circuit_1153.jpg,39,0,39,24,23,12,16
circuit_1162.jpg,25,0,25,19,18,6,11
circuit_1166.jpg,26,3,23,20,18,13,15
circuit_1172.jpg,26,3,23,18,15,13,16
circuit_1183.jpg,11,0,11,9,6,3,4
circuit_1194.jpg,35,0,35,30,30,16,16
circuit_1201.jpg,47,2,45,33,32,11,13
circuit_1202.jpg,8,0,8,8,3,2,3
circuit_1203.jpg,12,0,12,10,4,2,9
circuit_1204.jpg,11,0,11,8,8,4,5
circuit_1205.jpg,6,0,6,4,3,3,6
circuit_1209.jpg,45,21,24,22,22,2,3
circuit_1233.jpg,29,3,26,20,16,5,9
circuit_1239.jpg,9,0,9,7,4,4,6
circuit_1241.jpg,32,2,30,27,27,11,13
circuit_1243.jpg,22,0,22,15,15,12,13
circuit_1244.jpg,26,0,26,21,17,10,15
circuit_125.jpg,10,0,10,6,6,5,5
circuit_1252.jpg,36,3,33,27,21,8,16
circuit_1256.jpg,30,6,24,23,19,2,6
circuit_1258.jpg,7,0,7,5,4,2,5
circuit_1262.jpg,8,0,8,6,4,5,7
circuit_1268.jpg,40,16,24,19,19,4,6
circuit_1272.jpg,26,3,23,16,13,5,8
circuit_136.jpg,12,0,12,7,5,4,4
circuit_138.jpg,8,0,8,6,0,2,5
circuit_14.jpg,28,4,24,21,21,13,13
circuit_153.jpg,37,12,25,18,18,2,2
circuit_155.jpg,15,0,15,13,7,6,12
circuit_170.jpg,5,0,5,3,1,2,7
circuit_178.jpg,14,0,14,14,7,3,4
circuit_184.jpg,32,9,23,19,19,1,1
circuit_185.jpg,6,0,6,4,2,3,5
circuit_187.jpg,26,8,18,18,16,2,4
circuit_19.jpg,7,0,7,6,6,6,6
circuit_193.jpg,22,0,22,19,10,5,8
circuit_198.jpg,18,0,18,14,14,10,10
circuit_205.jpg,32,2,30,25,20,7,13
circuit_210.jpg,26,2,24,19,17,7,10
