image,n_boxes,n_honoured_best,tp_f1_default,tp_f1_best,tp_f1_gain,net_f1_default,net_f1_best,percomp_default,percomp_best
circuit_1.jpg,2,2,0.4688,0.4688,0.0,0.6471,0.6471,0.0,0.0
circuit_1016.jpg,2,2,0.4714,0.4714,0.0,0.6761,0.6761,0.0,0.0
circuit_1018.jpg,0,0,0.6154,0.6154,0.0,0.7273,0.7273,0.1667,0.1667
circuit_1074.jpg,0,0,0.3575,0.3575,0.0,0.6296,0.6296,0.1071,0.1071
circuit_1076.jpg,0,0,0.2632,0.2632,0.0,0.5532,0.5532,0.0833,0.0833
circuit_1077.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1079.jpg,2,2,0.4132,0.4132,0.0,0.6735,0.6735,0.087,0.087
circuit_1087.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1093.jpg,0,0,0.6957,0.6957,0.0,0.7714,0.7714,0.1579,0.1579
circuit_1094.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1097.jpg,0,0,0.619,0.619,0.0,0.8293,0.8293,0.7,0.7
circuit_1111.jpg,0,0,0.2055,0.2055,0.0,0.5319,0.5319,0.125,0.125
circuit_1121.jpg,0,0,0.5263,0.5263,0.0,0.6667,0.6667,0.4286,0.4286
circuit_1122.jpg,0,0,0.8413,0.8413,0.0,0.9167,0.9167,0.4211,0.4211
circuit_1124.jpg,0,0,0.816,0.816,0.0,0.8732,0.8732,0.5263,0.5263
circuit_1127.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_113.jpg,0,0,0.3357,0.3357,0.0,0.6087,0.6087,0.1667,0.1667
circuit_1135.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1145.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1153.jpg,0,0,0.4804,0.4804,0.0,0.7222,0.7222,0.2857,0.2857
circuit_1162.jpg,0,0,0.9138,0.9138,0.0,0.9706,0.9706,0.6667,0.6667
circuit_1166.jpg,2,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1172.jpg,2,2,0.686,0.686,0.0,0.8317,0.8317,0.5652,0.5652
circuit_1183.jpg,0,0,0.4667,0.4667,0.0,0.6364,0.6364,0.0,0.0
circuit_1194.jpg,0,0,0.4247,0.4247,0.0,0.7021,0.7021,0.375,0.375
circuit_1201.jpg,2,2,0.5811,0.5811,0.0,0.7742,0.7742,0.1818,0.1818
circuit_1202.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1203.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1204.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1205.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1233.jpg,2,2,0.5862,0.5862,0.0,0.7353,0.7353,0.0667,0.0667
circuit_1239.jpg,0,0,0.7619,0.7619,0.0,0.8824,0.8824,0.3333,0.3333
circuit_1241.jpg,2,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1243.jpg,0,0,0.3709,0.3709,0.0,0.6739,0.6739,0.1667,0.1667
circuit_1244.jpg,0,0,0.2297,0.2297,0.0,0.5417,0.5417,0.0417,0.0417
circuit_125.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1252.jpg,2,2,0.5679,0.5679,0.0,0.7475,0.7475,0.3043,0.3043
circuit_1256.jpg,5,3,0.3254,0.3258,0.0004,0.5,0.5,0.0,0.0
circuit_1258.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_1262.jpg,0,0,0.1667,0.1667,0.0,0.5385,0.5385,0.0,0.0
circuit_1272.jpg,2,2,0.5893,0.5893,0.0,0.7353,0.7353,0.0667,0.0667
circuit_136.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_138.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_14.jpg,2,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_155.jpg,0,0,0.8413,0.8413,0.0,0.9167,0.9167,0.4211,0.4211
circuit_170.jpg,0,0,0.7059,0.7059,0.0,0.8421,0.8421,0.4,0.4
circuit_178.jpg,0,0,0.4545,0.4545,0.0,0.6923,0.6923,0.0,0.0
circuit_185.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_19.jpg,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
circuit_193.jpg,0,0,0.7363,0.7363,0.0,0.8312,0.8312,0.15,0.15
circuit_198.jpg,0,0,0.56,0.56,0.0,0.7778,0.7778,0.1053,0.1053
circuit_205.jpg,2,2,0.7344,0.7344,0.0,0.8235,0.8235,0.2,0.2
circuit_210.jpg,2,2,0.6719,0.6719,0.0,0.7941,0.7941,0.0667,0.0667
