best_correct_frac,best_wrong_frac,chosen_ok,chosen_pose,class,comp_id,gap_frac,image,verdict
0.0952,0.3842,1,pose2,V-AC,0,-0.289,circuit_1.jpg,correct_better
0.2463,0.1221,0,pose6,MOSFET-N,1,0.1243,circuit_1.jpg,wrong_better
0.1011,0.3008,1,pose2,V-AC,2,-0.1997,circuit_1.jpg,correct_better
0.1025,0.3835,1,pose2,I-AC,3,-0.281,circuit_1.jpg,correct_better
0.0983,0.3866,1,pose2,I-AC,4,-0.2883,circuit_1.jpg,correct_better
0.184,0.1594,0,pose6,MOSFET-N,5,0.0247,circuit_1.jpg,wrong_better
,,0,pose6,MOSFET-P,6,,circuit_1.jpg,no_correct_pose
,,0,pose2,MOSFET-P,7,,circuit_1.jpg,no_correct_pose
0.0899,0.09,1,pose0,V-DC,9,-0.0001,circuit_1.jpg,tied
0.2484,0.1527,0,pose6,MOSFET-N,10,0.0957,circuit_1.jpg,wrong_better
0.1268,0.3646,1,pose0,Resistor,12,-0.2377,circuit_1.jpg,correct_better
0.2534,0.1652,0,pose6,MOSFET-N,13,0.0882,circuit_1.jpg,wrong_better
0.1374,0.1356,0,pose4,Zener Diode,14,0.0017,circuit_1.jpg,tied
0.1033,0.1034,1,pose0,V-DC,0,-0.0001,circuit_1016.jpg,tied
,,0,pose2,MOSFET-P,1,,circuit_1016.jpg,no_correct_pose
0.1059,0.2989,1,pose2,I-AC,2,-0.193,circuit_1016.jpg,correct_better
0.1029,0.3878,1,pose0,I-AC,3,-0.2849,circuit_1016.jpg,correct_better
,,0,pose2,MOSFET-P,4,,circuit_1016.jpg,no_correct_pose
,,0,pose6,MOSFET-P,5,,circuit_1016.jpg,no_correct_pose
0.1262,0.2892,1,pose2,V-AC,6,-0.163,circuit_1016.jpg,correct_better
0.2463,0.1584,0,pose6,MOSFET-N,7,0.0879,circuit_1016.jpg,wrong_better
0.2817,0.1615,0,pose6,MOSFET-N,8,0.1202,circuit_1016.jpg,wrong_better
0.1262,0.4061,1,pose2,V-AC,9,-0.2798,circuit_1016.jpg,correct_better
0.1885,0.1566,0,pose6,MOSFET-N,11,0.032,circuit_1016.jpg,wrong_better
0.1337,0.3685,1,pose0,Resistor,13,-0.2348,circuit_1016.jpg,correct_better
