image,topology_violations,n_extra_lines,ground_case,ground_mapped_gt_net,ground_ambiguous,ground_correct
circuit_1.jpg,,2,gauge_gnd_symbol,0|n1,1,0
circuit_1016.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1018.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1074.jpg,,2,gauge_gnd_symbol,n12,0,0
circuit_1076.jpg,,2,gauge_gnd_symbol,,,
circuit_1077.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1079.jpg,,4,gauge_gnd_symbol,0|n15,1,0
circuit_1087.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1093.jpg,,4,gauge_gnd_symbol,n2,0,0
circuit_1094.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1097.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1111.jpg,,1,gauge_gnd_symbol,0|n7,1,0
circuit_1121.jpg,,0,gauge_gnd_symbol,0|n1,1,0
circuit_1122.jpg,,4,gauge_gnd_symbol,n8,0,0
circuit_1124.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1127.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_113.jpg,,4,gauge_gnd_symbol,n1|n7|n9,1,0
circuit_1133.jpg,,3,assumed,n4,0,0
circuit_1134.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1135.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1145.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1153.jpg,,4,gauge_gnd_symbol,n10,0,0
circuit_1162.jpg,,5,gauge_gnd_symbol,n4,0,0
circuit_1166.jpg,,4,gauge_gnd_symbol,0,0,1
circuit_1172.jpg,,6,gauge_gnd_symbol,0,0,1
circuit_1183.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1194.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1201.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1202.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1203.jpg,,3,gauge_gnd_symbol,0|n3,1,0
circuit_1204.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1205.jpg,,1,gauge_gnd_symbol,0|n3,1,0
circuit_1209.jpg,,2,gauge_gnd_symbol,n6,0,0
circuit_1233.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1239.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1241.jpg,,0,assumed,n1,0,0
circuit_1243.jpg,,2,gauge_gnd_symbol,n3,0,0
circuit_1244.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_125.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1252.jpg,,7,gauge_gnd_symbol,0,0,1
circuit_1256.jpg,,2,gauge_gnd_symbol,,,
circuit_1258.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1262.jpg,,2,gauge_gnd_symbol,0|n4,1,0
circuit_1268.jpg,,3,gauge_gnd_symbol,n4,0,0
circuit_1272.jpg,,1,gauge_gnd_symbol,0|n5,1,0
circuit_136.jpg,,0,gauge_gnd_symbol,,,
circuit_138.jpg,,1,assumed,n5,0,0
circuit_14.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_153.jpg,,1,gauge_gnd_symbol,0|n6,1,0
circuit_155.jpg,,2,gauge_gnd_symbol,0|n5,1,0
circuit_170.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_178.jpg,,1,gauge_gnd_symbol,n2,0,0
circuit_184.jpg,,0,gauge_gnd_symbol,,,
circuit_185.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_187.jpg,,2,gauge_gnd_symbol,0|n6,1,0
circuit_19.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_193.jpg,,0,gauge_gnd_symbol,0|n10,1,0
circuit_198.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_205.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_210.jpg,,3,gauge_gnd_symbol,0|n1,1,0
circuit_215.jpg,,3,gauge_gnd_symbol,0|n2,1,0
circuit_226.jpg,,1,gauge_gnd_symbol,n1,0,0
circuit_230.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_236.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_238.jpg,,1,gauge_gnd_symbol,0|n4,1,0
circuit_260.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_263.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_267.jpg,,1,gauge_gnd_symbol,0|n3,1,0
circuit_294.jpg,,7,gauge_gnd_symbol,0,0,1
circuit_297.jpg,,3,gauge_gnd_symbol,,,
circuit_299.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_300.jpg,,1,gauge_gnd_symbol,0|n6,1,0
