image,topology_violations,n_extra_lines,ground_case,ground_mapped_gt_net,ground_ambiguous,ground_correct
circuit_1.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1016.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1018.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1074.jpg,,0,gauge_gnd_symbol,0|n9,1,0
circuit_1076.jpg,,1,gauge_gnd_symbol,0|n7,1,0
circuit_1077.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1079.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_1087.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1093.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1094.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1097.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1111.jpg,,1,gauge_gnd_symbol,0|n7,1,0
circuit_1121.jpg,,0,gauge_gnd_symbol,0|n1,1,0
circuit_1122.jpg,,1,gauge_gnd_symbol,0|n5,1,0
circuit_1124.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1127.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_113.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1133.jpg,,0,assumed,n4,0,0
circuit_1134.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1135.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1145.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1153.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1162.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1166.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1172.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1183.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1194.jpg,,1,gauge_gnd_symbol,0|n2,1,0
circuit_1201.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1202.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1203.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1204.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1205.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1209.jpg,,1,gauge_gnd_symbol,n6,0,0
circuit_1233.jpg,,2,gauge_gnd_symbol,0|n1,1,0
circuit_1239.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1241.jpg,,1,assumed,n1,0,0
circuit_1243.jpg,,0,gauge_gnd_symbol,0|n4,1,0
circuit_1244.jpg,,1,gauge_gnd_symbol,0|n6,1,0
circuit_125.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_1252.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_1256.jpg,,1,gauge_gnd_symbol,n1,0,0
circuit_1258.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1262.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_1268.jpg,,0,gauge_gnd_symbol,n4,0,0
circuit_1272.jpg,,2,gauge_gnd_symbol,0|n5,1,0
circuit_136.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_138.jpg,,0,assumed,n5,0,0
circuit_14.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_153.jpg,,0,gauge_gnd_symbol,n6,0,0
