image,pred_node,n_gt_nets,cc_1024,cc_orig,ink_1024,ink_orig
circuit_1016.jpg,n6,2,2,5,0.0527,0.0353
circuit_1016.jpg,0,3,2,4,0.0447,0.0768
circuit_1016.jpg,n1,2,1,2,0.0424,0.0327
circuit_1016.jpg,n5,1,2,3,0.0424,0.0731
circuit_1016.jpg,n3,1,2,2,0.0517,0.0331
circuit_1016.jpg,n9,1,1,8,0.0908,0.0993
circuit_1016.jpg,n4,1,1,3,0.0892,0.0561
circuit_1016.jpg,n8,1,2,4,0.0288,0.0722
circuit_1016.jpg,n7,2,3,4,0.0499,0.0732
circuit_1016.jpg,n2,2,1,4,0.014,0.0385
circuit_1018.jpg,0,1,1,4,0.0454,0.0519
circuit_1018.jpg,n1,1,1,2,0.0288,0.021
circuit_1018.jpg,n2,2,1,2,0.0369,0.0372
circuit_1018.jpg,n3,2,1,1,0.0285,0.0212
circuit_1074.jpg,n5,1,1,8,0.0397,0.0785
circuit_1074.jpg,n4,1,1,4,0.0335,0.0372
circuit_1074.jpg,n8,2,1,2,0.0381,0.0438
circuit_1074.jpg,n14,2,1,5,0.0622,0.0721
circuit_1074.jpg,n10,2,2,10,0.0829,0.0864
circuit_1074.jpg,n12,2,3,10,0.0434,0.0845
circuit_1074.jpg,n11,2,1,5,0.049,0.0531
circuit_1074.jpg,n13,2,1,4,0.0453,0.0491
circuit_1074.jpg,n16,2,2,7,0.0122,0.0599
circuit_1074.jpg,n17,2,2,5,0.0319,0.0632
circuit_1074.jpg,n15,1,2,5,0.0456,0.0887
circuit_1074.jpg,n2,2,1,2,0.0376,0.0292
circuit_1074.jpg,n9,2,1,4,0.0099,0.0469
circuit_1074.jpg,n3,2,1,4,0.0533,0.0762
circuit_1074.jpg,n1,2,1,5,0.0379,0.0507
circuit_1074.jpg,n7,2,2,6,0.0228,0.0719
circuit_1074.jpg,0,2,1,4,0.0124,0.0474
circuit_1074.jpg,n6,1,1,1,0.0571,0.03
circuit_1076.jpg,n10,2,1,1,0.0546,0.0364
circuit_1076.jpg,n9,2,1,2,0.0503,0.0575
circuit_1076.jpg,0,2,1,4,0.0122,0.0556
circuit_1076.jpg,n2,2,1,2,0.04,0.0245
circuit_1076.jpg,n1,3,1,1,0.0435,0.0278
circuit_1076.jpg,n5,2,1,4,0.0172,0.0576
circuit_1076.jpg,n8,2,1,5,0.0147,0.0448
circuit_1076.jpg,n7,2,1,1,0.0924,0.066
circuit_1076.jpg,n11,3,2,2,0.0462,0.0604
