image,comp_id,class,terminal,n_terminals,gt_net,pred_net,verdict,n_nodes_seen,pose,pose_dist_frac
circuit_1.jpg,0,V-AC,0,2,n2,n2,ok,2,pose2,0.0952
circuit_1.jpg,0,V-AC,1,2,0,0,ok,2,pose2,0.0952
circuit_1.jpg,1,MOSFET-N,0,3,n5,n3,swapped,3,pose6,0.1221
circuit_1.jpg,1,MOSFET-N,1,3,n3,0,swapped,3,pose6,0.1221
circuit_1.jpg,1,MOSFET-N,2,3,0,n5,swapped,3,pose6,0.1221
circuit_1.jpg,2,V-AC,0,2,n3,n3,ok,2,pose2,0.1011
circuit_1.jpg,2,V-AC,1,2,0,0,ok,2,pose2,0.1011
circuit_1.jpg,3,I-AC,0,2,n8,n8,ok,2,pose2,0.1025
circuit_1.jpg,3,I-AC,1,2,0,0,ok,2,pose2,0.1025
circuit_1.jpg,4,I-AC,0,2,n7,n7,ok,2,pose2,0.0983
circuit_1.jpg,4,I-AC,1,2,0,0,ok,2,pose2,0.0983
circuit_1.jpg,5,MOSFET-N,0,3,n1,n3,swapped,3,pose6,0.1594
circuit_1.jpg,5,MOSFET-N,1,3,n3,n4,swapped,3,pose6,0.1594
circuit_1.jpg,5,MOSFET-N,2,3,n4,n1,swapped,3,pose6,0.1594
circuit_1.jpg,6,MOSFET-P,0,3,n8,n6,swapped,3,pose6,0.1382
circuit_1.jpg,6,MOSFET-P,1,3,n6,0,swapped,3,pose6,0.1382
circuit_1.jpg,6,MOSFET-P,2,3,0,n8,swapped,3,pose6,0.1382
circuit_1.jpg,7,MOSFET-P,0,3,n7,n7,ok,3,pose2,0.1601
circuit_1.jpg,7,MOSFET-P,1,3,n6,n4,swapped,3,pose2,0.1601
circuit_1.jpg,7,MOSFET-P,2,3,n4,n6,swapped,3,pose2,0.1601
circuit_1.jpg,8,GND,0,1,0,0,ok,1,,
circuit_1.jpg,9,V-DC,0,2,n1,n1,ok,2,pose0,0.0899
circuit_1.jpg,9,V-DC,1,2,0,0,ok,2,pose0,0.0899
circuit_1.jpg,10,MOSFET-N,0,3,n1,n2,swapped,3,pose6,0.1527
circuit_1.jpg,10,MOSFET-N,1,3,n2,n4,swapped,3,pose6,0.1527
circuit_1.jpg,10,MOSFET-N,2,3,n4,n1,swapped,3,pose6,0.1527
circuit_1.jpg,11,GND,0,1,0,0,ok,1,,
circuit_1.jpg,12,Resistor,0,2,n5,n5,ok,2,pose0,0.1268
circuit_1.jpg,12,Resistor,1,2,n6,n6,ok,2,pose0,0.1268
circuit_1.jpg,13,MOSFET-N,0,3,n4,n2,swapped,3,pose6,0.1652
circuit_1.jpg,13,MOSFET-N,1,3,n2,n5,swapped,3,pose6,0.1652
