stratum,n_images,terminal_pair_f1,net_f1,per_component_connected_acc,nged,strict_success
all,190,0.7426,0.8411,0.5946,0.2372,0.3789
small (<=8 components),72,0.8752,0.9182,0.7861,0.1234,0.6806
medium (9-16),56,0.6887,0.7969,0.5318,0.2539,0.1964
large (>16),62,0.6375,0.7913,0.429,0.3543,0.1935
has wire crossover,56,0.6994,0.8017,0.5517,0.3028,0.1964
no wire crossover,134,0.7607,0.8575,0.6126,0.2098,0.4552
has 3+ terminal device,59,0.5782,0.7548,0.3628,0.3722,0.1695
only 2-terminal devices,131,0.8167,0.8799,0.699,0.1764,0.4733
has GND symbol,183,0.74,0.8394,0.5903,0.236,0.377
no GND symbol,7,0.8105,0.8835,0.7088,0.2689,0.4286
