image,n_components,net_f1,terminal_pair_f1,unmatched_pred,unmatched_gt,has_crossover,has_multiterminal,frac_squarish_gt_boxes
circuit_468.jpg,14,0.3333,0.1897,1,1,True,False,0.143
circuit_904.jpg,18,0.4638,0.24,0,1,False,True,0.389
circuit_957.jpg,24,0.4681,0.137,0,0,False,True,0.125
circuit_575.jpg,10,0.4706,0.2222,1,1,False,False,0.0
circuit_1256.jpg,18,0.4722,0.2905,1,0,True,False,0.056
circuit_328.jpg,24,0.4894,0.1644,0,0,False,True,0.167
circuit_437.jpg,14,0.5,0.3191,5,4,True,True,0.286
circuit_961.jpg,24,0.5161,0.1793,0,1,False,True,0.125
circuit_709.jpg,14,0.5185,0.3333,0,0,True,False,0.214
circuit_1111.jpg,24,0.5319,0.2055,0,0,False,True,0.083
circuit_525.jpg,24,0.5319,0.2533,0,0,False,True,0.042
circuit_979.jpg,24,0.5319,0.2267,0,0,False,True,0.083
circuit_1262.jpg,7,0.5385,0.1667,1,1,False,False,0.143
circuit_563.jpg,15,0.5405,0.3309,3,1,True,True,0.0
circuit_1244.jpg,24,0.5417,0.2297,3,2,False,True,0.292
