stratum,n_images,terminal_pair_f1,net_f1,per_component_connected_acc,nged,strict_success
all,190,0.7889,0.8714,0.5771,0.2274,0.4421
small (<=8 components),72,0.9343,0.9585,0.8492,0.1092,0.8056
medium (9-16),56,0.7453,0.834,0.3871,0.2507,0.2321
large (>16),62,0.6594,0.8038,0.4327,0.3436,0.2097
has wire crossover,56,0.7374,0.8251,0.4057,0.3002,0.2143
no wire crossover,134,0.8104,0.8907,0.6487,0.197,0.5373
has 3+ terminal device,59,0.6226,0.7836,0.3702,0.3662,0.1864
only 2-terminal devices,131,0.8638,0.9109,0.6703,0.1649,0.5573
has GND symbol,183,0.7885,0.8715,0.5775,0.226,0.4426
no GND symbol,7,0.7986,0.867,0.5659,0.263,0.4286
