stratum,n_images,terminal_pair_f1,net_f1,per_component_connected_acc,nged,strict_success
all,190,0.7076,0.8083,0.5692,0.1921,0.3526
small (<=8 components),72,0.8714,0.9216,0.78,0.0289,0.6806
medium (9-16),56,0.5979,0.6993,0.4905,0.2109,0.1429
large (>16),62,0.6167,0.7752,0.3953,0.3645,0.1613
has wire crossover,56,0.5772,0.6848,0.4602,0.3204,0.125
no wire crossover,134,0.7621,0.86,0.6147,0.1384,0.4478
has 3+ terminal device,59,0.5413,0.7222,0.3166,0.356,0.1186
only 2-terminal devices,131,0.7826,0.8471,0.6829,0.1182,0.458
has GND symbol,183,0.7051,0.8068,0.5638,0.193,0.3552
no GND symbol,7,0.7729,0.8493,0.7088,0.1663,0.2857
