config,terminal_pair_f1,net_f1,per_component_acc,fragmentation
DEFAULT (baseline),0.6911,0.7872,0.5166,1.25
textmask.dilate_kernel=1,0.6921,0.7886,0.5131,1.2
textmask.dilate_kernel=3,0.6911,0.7872,0.5166,1.25
textmask.dilate_kernel=5,0.6833,0.7817,0.5082,1.528
textmask.max_area=1200,0.6911,0.7872,0.5166,1.25
textmask.max_area=2500,0.6911,0.7872,0.5166,1.25
textmask.max_area=5000,0.6911,0.7872,0.5166,1.25
textmask.max_height=30,0.6911,0.7872,0.5166,1.279
textmask.max_height=50,0.6911,0.7872,0.5166,1.25
textmask.max_height=80,0.6903,0.7866,0.5166,1.25
textmask.max_width=80,0.6911,0.7872,0.5166,1.25
textmask.max_width=120,0.6911,0.7872,0.5166,1.25
textmask.max_width=200,0.6911,0.7872,0.5166,1.25
textmask.adaptive_c=5,0.6913,0.787,0.5166,1.25
textmask.adaptive_c=10,0.6911,0.7872,0.5166,1.25
textmask.adaptive_c=15,0.6911,0.7872,0.5166,1.25
textmask.min_area=10,0.6911,0.7872,0.5166,1.25
textmask.min_area=20,0.6911,0.7872,0.5166,1.25
textmask.min_area=40,0.6911,0.7872,0.5166,1.25
wires.min_blob_area=5,0.6898,0.7862,0.5231,1.321
wires.min_blob_area=20,0.6911,0.7872,0.5166,1.25
wires.min_blob_area=60,0.6869,0.7859,0.5081,1.2
wires.min_blob_extent=8,0.6931,0.7888,0.5206,1.321
wires.min_blob_extent=15,0.6911,0.7872,0.5166,1.25
wires.min_blob_extent=25,0.6912,0.7879,0.5166,1.25
wires.morph_kernel=1,0.6911,0.7872,0.5166,1.25
wires.morph_kernel=2,0.6911,0.7872,0.5166,1.25
wires.morph_kernel=3,0.6911,0.7872,0.5166,1.25
wires.bridge_span=5,0.6817,0.7868,0.4794,1.333
wires.bridge_span=9,0.6911,0.7872,0.5166,1.25
wires.bridge_span=13,0.6685,0.7725,0.4993,1.211
nodes.connectivity=4,0.6211,0.7503,0.4228,1.333
nodes.connectivity=8,0.6911,0.7872,0.5166,1.25
snapping.max_expand=15,0.6833,0.7828,0.4986,1.25
snapping.max_expand=30,0.6911,0.7872,0.5166,1.25
snapping.max_expand=45,0.6915,0.788,0.5181,1.25
snapping.window_depth=2,0.6911,0.7872,0.5166,1.25
snapping.window_depth=4,0.6911,0.7872,0.5166,1.25
snapping.window_depth=8,0.6911,0.7872,0.5166,1.25
snapping.expand_step=1,0.6529,0.7633,0.4405,1.25
snapping.expand_step=2,0.6911,0.7872,0.5166,1.25
snapping.expand_step=4,0.6896,0.7857,0.5041,1.25
detect.confidence=0.25,0.6911,0.7872,0.5166,1.25
detect.confidence=0.4,0.6911,0.7872,0.5166,1.25
detect.confidence=0.55,0.6911,0.7872,0.5166,1.25
