config,terminal_pair_f1,net_f1,per_component_acc,fragmentation
DEFAULT (baseline),0.5648,0.7154,0.3311,1.453
nodes.junction_threshold=0.5,0.5692,0.7189,0.3378,1.444
nodes.junction_threshold=0.6,0.5859,0.729,0.3482,1.441
nodes.junction_threshold=0.7,0.5952,0.7357,0.3709,1.419
nodes.junction_threshold=0.8,0.6,0.7399,0.378,1.345
nodes.junction_threshold=0.9,0.6069,0.7454,0.3986,1.333
nodes.junction_threshold=0.95,0.6229,0.7548,0.4291,1.293
nodes.junction_site_box=15,0.59,0.7347,0.3531,1.385
nodes.junction_site_box=20,0.569,0.7186,0.3387,1.422
nodes.method=crossover,0.6841,0.797,0.5067,1.25
