image,n_pred,n_gt,matched,unmatched_pred,unmatched_gt,terminal_pair_precision,terminal_pair_recall,terminal_pair_f1,net_f1,per_component_connected_acc,per_component_recall_acc,nged,strict_success,solvable_after
circuit_15.jpg,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1
circuit_20.jpg,6,5,5,1,0,0.625,1.0,0.7692307692307693,0.9,0.0,1.0,0.08108108108108109,False,0
circuit_39.jpg,14,14,14,0,0,0.7752808988764045,1.0,0.8734177215189874,0.8518518518518519,0.5,1.0,0.14942528735632185,False,0
circuit_50.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.13793103448275862,True,1
circuit_78.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1
circuit_89.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1
circuit_96.jpg,23,22,22,1,0,0.9090909090909091,0.8955223880597015,0.9022556390977443,0.9278350515463918,0.6363636363636364,0.6363636363636364,0.37142857142857144,False,0
circuit_131.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,True,1
circuit_142.jpg,24,23,23,1,0,0.5652173913043478,0.2736842105263158,0.36879432624113473,0.6451612903225806,0.17391304347826086,0.17391304347826086,0.46745562130177515,False,0
circuit_150.jpg,7,7,7,0,0,1.0,0.6470588235294118,0.7857142857142858,0.8461538461538461,0.2857142857142857,0.2857142857142857,0.3877551020408163,False,0
circuit_208.jpg,19,19,19,0,0,0.9298245614035088,0.7681159420289855,0.8412698412698412,0.9166666666666666,0.42105263157894735,0.42105263157894735,0.2558139534883721,False,0
circuit_209.jpg,13,13,13,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1
circuit_218.jpg,15,16,15,0,1,0.9523809523809523,0.9302325581395349,0.9411764705882352,0.9411764705882354,0.75,0.75,0.2459016393442623,False,0
circuit_220.jpg,13,13,13,0,0,0.37254901960784315,0.6333333333333333,0.4691358024691358,0.6153846153846154,0.0,0.0,0.38095238095238093,False,0
circuit_255.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,True,1
circuit_298.jpg,24,24,24,0,0,0.5227272727272727,0.2169811320754717,0.30666666666666664,0.5957446808510638,0.08333333333333333,0.08333333333333333,0.4883720930232558,False,0
circuit_325.jpg,9,9,9,0,0,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.6470588235294118,0.0,0.1111111111111111,0.1935483870967742,False,0
circuit_388.jpg,18,18,18,0,0,0.9024390243902439,0.6166666666666667,0.7326732673267328,0.8048780487804877,0.4444444444444444,0.4444444444444444,0.4206896551724138,False,0
circuit_410.jpg,26,24,21,5,3,0.12,0.05660377358490566,0.07692307692307693,0.32989690721649484,0.0,0.0,0.5674157303370787,False,0
circuit_483.jpg,15,14,14,1,0,0.6119402985074627,0.9111111111111111,0.7321428571428571,0.8695652173913043,0.14285714285714285,0.6428571428571429,0.28448275862068967,False,0
circuit_486.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,True,1
circuit_505.jpg,9,9,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1
circuit_557.jpg,13,13,13,0,0,0.18125,0.6590909090909091,0.28431372549019607,0.4000000000000001,0.0,0.23076923076923078,0.35802469135802467,False,0
circuit_578.jpg,18,18,18,0,0,0.9574468085106383,0.8653846153846154,0.9090909090909091,0.9428571428571428,0.5555555555555556,0.5555555555555556,0.2125984251968504,False,0
circuit_590.jpg,15,15,15,0,0,0.4117647058823529,0.3230769230769231,0.3620689655172413,0.6176470588235294,0.0,0.0,0.1794871794871795,False,0
circuit_643.jpg,13,14,13,0,1,0.4461538461538462,0.6444444444444445,0.5272727272727272,0.6153846153846153,0.0,0.0,0.34065934065934067,False,0
circuit_706.jpg,23,23,23,0,0,1.0,0.9710144927536232,0.9852941176470589,0.9795918367346939,0.8695652173913043,0.8695652173913043,0.2655367231638418,False,0
circuit_717.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,True,1
circuit_754.jpg,18,18,18,0,0,0.9555555555555556,0.7166666666666667,0.8190476190476191,0.9024390243902439,0.5555555555555556,0.6111111111111112,0.3916083916083916,False,0
circuit_763.jpg,24,24,24,0,0,0.6956521739130435,0.3018867924528302,0.4210526315789474,0.6595744680851063,0.20833333333333334,0.20833333333333334,0.4853801169590643,False,0
circuit_776.jpg,9,9,9,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625,True,1
circuit_779.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,True,1
circuit_792.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,True,1
circuit_817.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,True,1
