image,node,n_fused_nets,candidate_sites,verdict,pair_distance_px
circuit_1.jpg,5,2,5,one_cut,
circuit_1.jpg,6,2,5,one_cut,
circuit_1.jpg,7,2,2,one_cut,
circuit_1.jpg,4,2,12,one_cut,
circuit_1.jpg,1,2,3,one_cut,
circuit_1.jpg,0,2,0,neither,
circuit_1016.jpg,0,2,4,one_cut,
circuit_1016.jpg,4,2,4,one_cut,
circuit_1016.jpg,2,2,5,one_cut,
circuit_1016.jpg,1,2,1,one_cut,
circuit_1018.jpg,4,2,4,one_cut,
circuit_1018.jpg,2,2,1,one_cut,
circuit_1074.jpg,1,2,5,neither,
circuit_1074.jpg,8,2,0,neither,
circuit_1079.jpg,6,2,1,one_cut,
circuit_1079.jpg,3,2,1,one_cut,
circuit_1079.jpg,11,2,1,one_cut,
circuit_1079.jpg,5,2,3,one_cut,
circuit_1079.jpg,15,2,7,one_cut,
circuit_1079.jpg,9,2,1,one_cut,
circuit_1079.jpg,7,3,1,one_cut,
circuit_1079.jpg,10,2,1,one_cut,
circuit_1087.jpg,5,2,4,one_cut,
circuit_1087.jpg,2,2,2,one_cut,
circuit_1093.jpg,5,3,2,one_cut,
circuit_1093.jpg,11,3,13,one_cut,
circuit_1093.jpg,6,3,2,one_cut,
circuit_1093.jpg,1,3,3,one_cut,
circuit_1093.jpg,7,3,2,one_cut,
circuit_1093.jpg,12,2,1,one_cut,
circuit_1093.jpg,13,2,0,neither,
circuit_1094.jpg,1,2,4,one_cut,
circuit_1094.jpg,2,2,7,one_cut,
circuit_1111.jpg,6,2,6,one_cut,
circuit_1121.jpg,3,2,0,neither,
circuit_1121.jpg,5,4,3,one_cut,
circuit_1121.jpg,2,2,1,one_cut,
circuit_1121.jpg,1,2,1,one_cut,
circuit_1121.jpg,4,2,0,neither,
circuit_1122.jpg,9,3,2,one_cut,
circuit_1122.jpg,6,3,1,one_cut,
circuit_1122.jpg,5,3,4,one_cut,
circuit_1122.jpg,12,2,0,neither,
circuit_1122.jpg,4,2,4,one_cut,
circuit_1122.jpg,2,2,1,one_cut,
circuit_1122.jpg,1,2,2,one_cut,
circuit_1124.jpg,4,2,1,one_cut,
circuit_1124.jpg,8,2,2,one_cut,
circuit_1124.jpg,6,3,5,one_cut,
circuit_1124.jpg,1,3,5,one_cut,
circuit_1124.jpg,5,3,2,one_cut,
circuit_1124.jpg,2,2,1,one_cut,
circuit_1124.jpg,10,2,0,neither,
circuit_1124.jpg,0,2,1,one_cut,
circuit_1127.jpg,6,3,2,one_cut,
circuit_1127.jpg,7,2,3,one_cut,
circuit_1127.jpg,2,3,3,one_cut,
circuit_1127.jpg,1,3,3,one_cut,
circuit_113.jpg,3,2,4,one_cut,
circuit_113.jpg,7,2,0,neither,
circuit_113.jpg,6,2,19,one_cut,
circuit_1133.jpg,2,3,23,one_cut,
circuit_1133.jpg,3,2,5,one_cut,
circuit_1134.jpg,0,7,39,one_cut,
circuit_1134.jpg,3,4,7,one_cut,
circuit_1134.jpg,2,3,4,one_cut,
circuit_1134.jpg,4,2,2,one_cut,
circuit_1135.jpg,4,2,3,one_cut,
circuit_1135.jpg,3,2,4,one_cut,
circuit_1145.jpg,1,2,2,one_cut,
circuit_1145.jpg,3,3,7,one_cut,
circuit_1145.jpg,2,2,1,one_cut,
circuit_1153.jpg,9,2,3,one_cut,
circuit_1153.jpg,0,2,2,one_cut,
circuit_1162.jpg,15,3,7,one_cut,
circuit_1162.jpg,10,2,2,one_cut,
circuit_1162.jpg,9,2,9,one_cut,
circuit_1162.jpg,11,2,2,one_cut,
circuit_1162.jpg,6,2,2,one_cut,
circuit_1166.jpg,4,2,2,one_cut,
circuit_1166.jpg,7,2,1,one_cut,
circuit_1166.jpg,13,4,12,one_cut,
circuit_1166.jpg,8,2,1,one_cut,
circuit_1166.jpg,10,2,3,one_cut,
circuit_1166.jpg,5,2,4,one_cut,
circuit_1166.jpg,0,2,4,one_cut,
circuit_1166.jpg,6,2,4,one_cut,
circuit_1166.jpg,14,2,3,one_cut,
circuit_1166.jpg,11,2,1,one_cut,
circuit_1166.jpg,1,3,2,one_cut,
circuit_1172.jpg,5,2,1,one_cut,
circuit_1172.jpg,11,2,0,neither,
circuit_1172.jpg,13,2,4,one_cut,
circuit_1172.jpg,14,4,16,one_cut,
circuit_1172.jpg,8,2,2,one_cut,
circuit_1172.jpg,12,2,0,neither,
circuit_1172.jpg,7,2,1,one_cut,
circuit_1172.jpg,0,2,6,one_cut,
circuit_1172.jpg,2,3,1,one_cut,
circuit_1183.jpg,5,3,6,one_cut,
