rank,image,split,gt_dir,n_gt_components,n_gt_nets,n_gt_terminal_pairs,gt_outlier_margin,inter_system_mean_f1,mean_vs_gt_f1,consensus_extra,consensus_missing,consensus_delta,pipeline_tp_f1,pipeline_net_f1,pipeline_nged,pipeline_unmatched_gt,pipeline_missing_pairs,pipeline_extra_pairs,pipeline_n_nets,pipeline_net_delta,pipeline_mode,claude_tp_f1,claude_net_f1,claude_nged,claude_unmatched_gt,claude_missing_pairs,claude_extra_pairs,claude_n_nets,claude_net_delta,claude_mode,openai_tp_f1,openai_net_f1,openai_nged,openai_unmatched_gt,openai_missing_pairs,openai_extra_pairs,openai_n_nets,openai_net_delta,openai_mode,f1_pipe_claude,f1_pipe_openai,f1_claude_openai,consensus_extra_pairs,consensus_missing_pairs
1,circuit_575.jpg,val,data/gt_val_1024,10,6,23,0.5263,1.0,0.4737,6,14,20,0.4737,0.6842,0.2917,1,14,6,8,2,split,0.4737,0.6842,0.3472,1,14,6,8,2,split,0.4737,0.6842,0.3472,1,14,6,8,2,split,1.0,1.0,1.0,c0.t1~c1009.t0; c2.t0~c3.t0; c2.t1~c1009.t1; c3.t1~c8.t0; c5.t0~c1009.t1; c6.t0~c1009.t1,c0.t0~c3.t0; c0.t0~c8.t0; c0.t1~c2.t0; c0.t1~c3.t1; c0.t1~c7.t0; c1.t0~c3.t0; +8 more
2,circuit_1121.jpg,val,data/gt_val_1024,7,6,8,0.4,1.0,0.6,6,2,8,0.6,0.7692,0.4118,0,2,6,5,-1,weld,0.6,0.7692,0.5294,0,2,6,5,-1,weld,0.6,0.7692,0.5294,0,2,6,5,-1,weld,1.0,1.0,1.0,c0.t1~c4.t0; c0.t1~c5.t0; c2.t1~c4.t1; c4.t0~c5.t0; c4.t0~c6.t0; c5.t0~c6.t0,c2.t1~c4.t0; c4.t1~c5.t0
3,circuit_1018.jpg,val,data/gt_val_1024,6,3,15,0.3846,1.0,0.6154,3,7,10,0.6154,0.7273,0.2195,0,7,3,4,1,split,0.6154,0.7273,0.2195,0,7,3,4,1,split,0.6154,0.7273,0.2195,0,7,3,4,1,split,1.0,1.0,1.0,c1.t1~c3.t0; c2.t1~c3.t1; c3.t0~c5.t1,c0.t1~c2.t1; c0.t1~c3.t0; c1.t1~c3.t1; c2.t1~c3.t0; c2.t1~c5.t0; c3.t0~c5.t0; +1 more
4,circuit_707.jpg,val,data/gt_val_1024,4,3,7,0.3429,0.8,0.4571,3,3,6,0.4,0.625,0.2143,1,3,9,2,-1,weld,0.5714,0.75,0.0,1,3,3,3,0,balanced,0.4,0.625,0.2143,1,3,9,2,-1,weld,0.7,1.0,0.7,c0.t1~c1003.t0; c1.t1~c1003.t1; c3.t1~c1003.t1,c0.t1~c2.t0; c1.t1~c2.t1; c2.t1~c3.t1
5,circuit_1209.jpg,val,data/gt_val_1024,14,7,45,0.2901,0.9327,0.6426,44,0,44,0.5844,0.6296,0.2955,0,0,64,4,-3,weld,0.6716,0.7037,0.2444,0,0,44,5,-2,weld,0.6716,0.7037,0.2444,0,0,44,5,-2,weld,0.899,0.899,1.0,c0.t0~c0.t1; c0.t0~c13.t0; c0.t0~c7.t0; c0.t0~c8.t0; c0.t0~c9.t1; c0.t1~c2.t0; +38 more,
6,circuit_344.jpg,val,data/gt_val_1024,15,9,65,0.274,0.8448,0.5708,17,25,42,0.5862,0.7941,0.1111,1,31,17,10,1,split,0.5441,0.7059,0.0702,1,28,34,8,-1,weld,0.5821,0.7647,0.0526,1,26,30,8,-1,weld,0.7869,0.8333,0.9143,c1.t0~c8.t0; c1.t1~c1014.t0; c1.t1~c13.t0; c1.t1~c9.t0; c12.t0~c1014.t1; c13.t0~c1014.t0; +11 more,c0.t0~c1.t0; c0.t0~c13.t0; c0.t0~c9.t0; c0.t1~c12.t0; c0.t1~c2.t0; c0.t1~c9.t1; +19 more
7,circuit_178.jpg,val,data/gt_val_1024,7,3,22,0.2727,1.0,0.7273,6,6,12,0.7273,0.8462,0.1087,1,6,6,3,0,balanced,0.7273,0.8462,0.1087,1,6,6,3,0,balanced,0.7273,0.8462,0.1087,1,6,6,3,0,balanced,1.0,1.0,1.0,c0.t0~c1006.t0; c1.t0~c1006.t0; c2.t0~c1006.t0; c2.t1~c1006.t1; c4.t1~c1006.t1; c5.t1~c1006.t1,c0.t0~c3.t0; c1.t0~c3.t0; c2.t0~c3.t0; c2.t1~c3.t1; c3.t1~c4.t1; c3.t1~c5.t1
8,circuit_327.jpg,val,data/gt_val_1024,6,4,11,0.2586,0.6444,0.3859,6,3,9,0.5333,0.7273,0.2195,0,3,11,3,-1,weld,0.0909,0.4545,0.2381,0,10,10,4,0,balanced,0.5333,0.7273,0.2195,0,3,11,3,-1,weld,0.4667,1.0,0.4667,c0.t0~c4.t0; c0.t0~c5.t0; c0.t1~c4.t1; c2.t0~c4.t0; c2.t0~c5.t0; c4.t0~c5.t0,c0.t1~c4.t0; c3.t1~c4.t0; c4.t1~c5.t0
9,circuit_1256.jpg,val,data/gt_val_1024,18,9,70,0.2388,0.5392,0.3004,34,19,53,0.3292,0.5,0.418,0,30,133,7,-2,weld,0.2651,0.4722,0.48,0,48,74,10,1,weld,0.3071,0.5,0.4016,0,33,134,7,-2,weld,0.3569,0.9012,0.3596,c1.t0~c1017.t0; c1.t0~c14.t0; c1.t0~c3.t0; c1.t0~c5.t0; c1.t0~c6.t0; c10.t1~c16.t1; +28 more,c0.t1~c14.t0; c12.t1~c14.t1; c12.t1~c15.t1; c12.t1~c17.t1; c14.t1~c15.t1; c15.t1~c17.t1; +13 more
10,circuit_1239.jpg,val,data/gt_val_1024,9,5,21,0.2381,1.0,0.7619,5,5,10,0.7619,0.8824,0.0,1,5,5,5,0,balanced,0.7619,0.8824,0.0,1,5,5,5,0,balanced,0.7619,0.8824,0.0,1,5,5,5,0,balanced,1.0,1.0,1.0,c2.t1~c1008.t0; c4.t1~c1008.t0; c5.t1~c1008.t1; c6.t1~c1008.t1; c7.t0~c1008.t1,c2.t1~c8.t0; c4.t1~c8.t0; c5.t1~c8.t1; c6.t1~c8.t1; c7.t0~c8.t1
