image,node,net_a,net_b,path_len,straight,detour,frac_in_component_box,min_width,median_width,branch_sites_on_path
circuit_1016.jpg,n6,0,n6,50,49.0,1.02,0.0,1.91,1.91,0
circuit_1016.jpg,0,0,n6,174,111.8,1.56,0.006,1.91,1.91,0
circuit_1016.jpg,0,n5,n6,364,299.4,1.22,0.003,1.91,1.91,0
circuit_1016.jpg,n1,0,n1,91,69.9,1.3,0.0,1.91,1.91,21
circuit_1016.jpg,n2,0,n1,56,47.4,1.18,0.018,1.91,1.91,0
circuit_1018.jpg,n2,n1,n2,151,118.9,1.27,0.0,1.91,1.91,0
circuit_1074.jpg,n8,0,n9,160,151.6,1.06,0.0,1.91,1.91,0
circuit_1074.jpg,n10,0,n11,93,86.0,1.08,0.0,1.91,1.91,0
circuit_1074.jpg,n11,n10,n11,58,57.0,1.02,0.0,1.91,1.91,0
circuit_1074.jpg,n13,0,n10,22,18.4,1.2,0.0,1.91,1.91,0
circuit_1074.jpg,n12,0,n8,3,2.0,1.5,0.0,1.91,1.91,0
circuit_1074.jpg,n14,n7,n8,3,2.0,1.5,0.0,1.91,1.91,0
circuit_1074.jpg,n17,0,n7,3,2.0,1.5,0.0,1.91,1.91,0
circuit_1074.jpg,n15,0,n13,159,107.1,1.48,0.0,1.91,1.91,0
circuit_1074.jpg,n18,0,n13,12,11.0,1.09,0.0,1.91,1.91,0
circuit_1074.jpg,n9,0,n1,4,3.0,1.33,0.0,1.91,2.32,0
circuit_1074.jpg,n7,0,n5,16,15.5,1.03,0.0,1.91,1.91,0
circuit_1074.jpg,0,0,n9,3,2.0,1.5,1.0,1.91,1.91,0
circuit_1076.jpg,0,0,n7,17,16.0,1.06,0.0,1.91,1.91,0
circuit_1076.jpg,n1,0,n1,195,153.6,1.27,0.0,1.91,1.91,0
circuit_1076.jpg,n1,n1,n2,195,153.6,1.27,0.0,1.91,1.91,0
circuit_1076.jpg,n11,0,n5,3,2.0,1.5,0.0,1.91,1.91,0
circuit_1076.jpg,n11,0,n6,3,2.0,1.5,0.0,1.91,1.91,0
circuit_1076.jpg,n12,0,n5,3,2.0,1.5,0.0,1.91,1.91,0
circuit_1076.jpg,n15,0,n10,239,180.4,1.32,0.0,1.91,1.91,0
circuit_1076.jpg,n14,n10,n9,41,40.6,1.01,0.0,1.91,1.91,0
