image,pred_node,gt_net_a,gt_net_b,min_arm_cuts
circuit_1074.jpg,n13,n10,0,0
circuit_1074.jpg,n12,0,n8,1
circuit_1074.jpg,n14,n8,n7,1
circuit_1074.jpg,n18,n13,0,0
circuit_1074.jpg,0,n9,0,0
circuit_1076.jpg,0,n7,0,0
circuit_1076.jpg,n5,n1,0,1
circuit_1076.jpg,n8,n1,0,0
circuit_1076.jpg,n7,0,n6,1
circuit_1076.jpg,n12,n5,0,0
circuit_1076.jpg,n16,n9,0,0
circuit_1076.jpg,n13,n5,0,0
circuit_1111.jpg,n2,0,n3,1
circuit_1111.jpg,n8,n3,0,0
circuit_1111.jpg,n14,n1,0,0
circuit_1111.jpg,0,n7,0,0
circuit_1111.jpg,n9,n8,n9,0
circuit_1111.jpg,n13,n2,0,0
circuit_1111.jpg,n1,n3,n4,1
circuit_1121.jpg,n4,0,n5,0
circuit_1122.jpg,n6,n5,0,1
circuit_1122.jpg,0,n5,0,0
circuit_113.jpg,n4,0,n3,1
circuit_113.jpg,n8,n3,0,0
circuit_1153.jpg,n16,n4,0,0
circuit_1183.jpg,0,n1,0,1
circuit_1194.jpg,n3,0,n9,1
circuit_1194.jpg,n8,n9,0,0
circuit_1194.jpg,n15,n1,0,0
circuit_1201.jpg,n9,n11,0,1
circuit_1243.jpg,n7,0,n2,1
circuit_1243.jpg,n12,n1,0,0
circuit_1243.jpg,n15,n1,0,0
circuit_1256.jpg,n4,0,n8,1
circuit_1256.jpg,n1,n5,n4,0
circuit_1256.jpg,n3,n4,n7,0
circuit_1256.jpg,n5,n7,n2,0
circuit_155.jpg,n5,n5,0,1
circuit_198.jpg,n4,n7,0,1
circuit_198.jpg,n9,n7,0,0
circuit_226.jpg,n8,0,n9,2
circuit_226.jpg,n11,n8,0,0
circuit_226.jpg,n1,0,n1,1
circuit_226.jpg,n6,n6,n7,1
circuit_226.jpg,n7,n1,0,0
circuit_226.jpg,n10,0,n7,1
circuit_226.jpg,n13,n7,0,0
circuit_297.jpg,n4,n13,n5,0
circuit_324.jpg,n6,n5,0,1
circuit_324.jpg,0,n5,0,0
circuit_328.jpg,n14,0,n12,1
circuit_328.jpg,n16,n11,0,0
circuit_328.jpg,n7,n1,0,0
circuit_328.jpg,n11,n8,0,0
circuit_328.jpg,n15,n6,0,0
circuit_333.jpg,0,0,n6,2
circuit_333.jpg,n3,n5,n6,1
circuit_415.jpg,n8,0,n6,1
circuit_415.jpg,n10,n7,0,1
circuit_415.jpg,n5,n6,0,2
circuit_438.jpg,n7,0,n2,1
circuit_492.jpg,n11,n3,n4,0
circuit_492.jpg,n9,n2,0,0
circuit_492.jpg,n10,n10,n9,0
circuit_492.jpg,n14,n4,0,0
circuit_525.jpg,n6,n2,0,2
circuit_525.jpg,n4,0,n6,1
circuit_525.jpg,n14,0,n4,1
circuit_525.jpg,n15,n4,n3,2
circuit_525.jpg,n16,n3,0,0
circuit_525.jpg,n13,n1,0,0
circuit_525.jpg,n3,n6,n7,1
circuit_525.jpg,n7,n7,0,0
circuit_678.jpg,n5,n5,0,1
