image,node,net_a,net_b,path_len,straight,detour,near_detected_xover,near_gt_xover,verdict
circuit_1134.jpg,0,n3,n6,1007,198.0,5.09,3.0,,
circuit_1256.jpg,0,n3,n4,428,113.2,3.78,40.3,,
circuit_1134.jpg,0,0,n5,770,243.5,3.16,90.5,,
circuit_1244.jpg,n7,0,n10,657,259.0,2.54,,,
circuit_1256.jpg,0,0,n3,545,229.8,2.37,40.3,,
circuit_1194.jpg,n4,0,n9,251,118.1,2.13,,,
circuit_1134.jpg,0,n5,n6,1150,629.0,1.83,3.0,,
circuit_1244.jpg,n9,0,n8,171,96.5,1.77,,,
circuit_1244.jpg,n9,n7,n8,171,96.5,1.77,,,
circuit_1256.jpg,0,n1,n4,341,201.3,1.69,102.0,,
circuit_1244.jpg,n11,0,n7,236,142.0,1.66,,,
circuit_113.jpg,n4,0,n3,148,90.1,1.64,,,
circuit_1262.jpg,0,0,n3,610,381.4,1.6,,,
circuit_1268.jpg,0,0,n4,551,347.6,1.59,102.2,,
circuit_1016.jpg,0,0,n6,174,111.8,1.56,339.2,,
circuit_1209.jpg,0,n4,n6,533,353.0,1.51,115.2,,
circuit_1074.jpg,n12,0,n8,3,2.0,1.5,,,
circuit_1074.jpg,n14,n7,n8,3,2.0,1.5,,,
circuit_1074.jpg,n17,0,n7,3,2.0,1.5,,,
circuit_1074.jpg,0,0,n9,3,2.0,1.5,,,
circuit_1076.jpg,n11,0,n5,3,2.0,1.5,,,
circuit_1076.jpg,n11,0,n6,3,2.0,1.5,,,
circuit_1076.jpg,n12,0,n5,3,2.0,1.5,,,
circuit_1111.jpg,n7,0,n8,441,293.5,1.5,,,
circuit_1111.jpg,n7,n1,n8,441,293.5,1.5,,,
circuit_1111.jpg,n7,n5,n8,441,293.5,1.5,,,
circuit_1121.jpg,n4,0,n5,3,2.0,1.5,,,
circuit_1209.jpg,0,0,n6,533,355.6,1.5,115.9,,
circuit_1209.jpg,n1,n1,n2,3,2.0,1.5,413.3,,
circuit_1256.jpg,n4,n2,n7,3,2.0,1.5,62.3,,
circuit_187.jpg,0,0,n6,3,2.0,1.5,244.4,,
circuit_1074.jpg,n15,0,n13,159,107.1,1.48,,,
circuit_1121.jpg,0,0,n5,299,202.7,1.47,,,
circuit_210.jpg,n1,0,n1,233,160.1,1.46,191.9,,
circuit_1262.jpg,n2,n1,n2,169,116.7,1.45,,,
circuit_113.jpg,n7,n12,n9,447,314.9,1.42,,,
circuit_1133.jpg,0,n4,n7,920,653.7,1.41,73.3,,
circuit_1262.jpg,n1,0,n3,155,111.5,1.39,,,
circuit_1256.jpg,0,n2,n3,304,219.9,1.38,40.3,,
circuit_1256.jpg,0,0,n1,458,334.8,1.37,117.1,,
circuit_198.jpg,n6,0,n5,121,88.6,1.37,,,
circuit_198.jpg,n6,n3,n5,121,88.6,1.37,,,
circuit_1243.jpg,n16,0,n7,3,2.2,1.34,,,
circuit_1244.jpg,n14,0,n11,3,2.2,1.34,,,
circuit_1074.jpg,n9,0,n1,4,3.0,1.33,,,
circuit_113.jpg,n7,n12,n2,4,3.0,1.33,,,
circuit_1134.jpg,0,0,n6,4,3.0,1.33,225.9,,
circuit_1134.jpg,0,n3,n5,4,3.0,1.33,197.2,,
circuit_1209.jpg,0,0,n4,4,3.0,1.33,115.2,,
circuit_1256.jpg,0,0,n2,4,3.0,1.33,163.2,,
circuit_1256.jpg,0,n2,n4,4,3.0,1.33,102.0,,
circuit_187.jpg,0,0,n5,4,3.0,1.33,42.5,,
circuit_187.jpg,n1,n1,n2,4,3.0,1.33,194.0,,
circuit_1076.jpg,n15,0,n10,239,180.4,1.32,,,
circuit_1134.jpg,0,0,n3,627,474.9,1.32,90.5,,
circuit_1194.jpg,n7,0,n2,269,204.0,1.32,,,
circuit_1016.jpg,n1,0,n1,91,69.9,1.3,163.3,,
circuit_1018.jpg,n2,n1,n2,151,118.9,1.27,,,
circuit_1076.jpg,n1,0,n1,195,153.6,1.27,,,
circuit_1076.jpg,n1,n1,n2,195,153.6,1.27,,,
