candidate_sites,cut_site_degree,image,n_fused_nets,node,single_cut
4,4,circuit_1.jpg,2,4,1
10,3,circuit_1.jpg,2,5,1
4,3,circuit_1.jpg,2,6,1
11,4,circuit_1.jpg,2,3,1
6,4,circuit_1.jpg,2,1,1
0,,circuit_1.jpg,2,0,0
4,3,circuit_1016.jpg,2,0,1
4,4,circuit_1016.jpg,2,4,1
5,4,circuit_1016.jpg,2,2,1
1,3,circuit_1016.jpg,2,1,1
4,4,circuit_1018.jpg,2,4,1
1,4,circuit_1018.jpg,2,2,1
6,,circuit_1074.jpg,2,9,0
7,4,circuit_1079.jpg,3,8,1
0,,circuit_1079.jpg,2,7,0
1,3,circuit_1079.jpg,2,14,1
1,4,circuit_1079.jpg,2,9,1
4,3,circuit_1079.jpg,2,18,1
3,4,circuit_1079.jpg,2,12,1
2,4,circuit_1079.jpg,3,10,1
0,,circuit_1079.jpg,2,13,0
3,4,circuit_1087.jpg,2,4,1
3,,circuit_1087.jpg,2,0,0
3,4,circuit_1087.jpg,3,2,1
5,4,circuit_1093.jpg,3,4,1
9,4,circuit_1093.jpg,3,9,1
5,4,circuit_1093.jpg,3,5,1
3,4,circuit_1093.jpg,3,1,1
1,4,circuit_1093.jpg,3,6,1
1,3,circuit_1093.jpg,2,10,1
0,,circuit_1093.jpg,2,11,0
4,4,circuit_1094.jpg,2,1,1
8,4,circuit_1094.jpg,2,2,1
0,,circuit_1111.jpg,2,8,0
12,3,circuit_1111.jpg,2,6,1
4,3,circuit_1111.jpg,2,4,1
0,,circuit_1121.jpg,2,3,0
2,3,circuit_1121.jpg,3,4,1
1,3,circuit_1121.jpg,2,2,1
1,4,circuit_1121.jpg,2,1,1
2,3,circuit_1122.jpg,3,8,1
2,4,circuit_1122.jpg,3,6,1
9,3,circuit_1122.jpg,3,5,1
2,3,circuit_1122.jpg,2,11,1
3,4,circuit_1122.jpg,2,4,1
1,4,circuit_1122.jpg,2,2,1
4,3,circuit_1122.jpg,2,1,1
2,4,circuit_1124.jpg,2,4,1
4,3,circuit_1124.jpg,2,8,1
4,4,circuit_1124.jpg,3,6,1
3,3,circuit_1124.jpg,2,1,1
3,4,circuit_1124.jpg,3,5,1
3,3,circuit_1124.jpg,2,2,1
1,,circuit_1124.jpg,2,10,0
2,3,circuit_1127.jpg,3,5,1
2,4,circuit_1127.jpg,2,6,1
3,3,circuit_1127.jpg,2,1,1
8,3,circuit_1127.jpg,2,2,1
5,4,circuit_113.jpg,2,3,1
0,,circuit_113.jpg,2,7,0
16,4,circuit_113.jpg,2,6,1
20,3,circuit_1133.jpg,2,2,1
42,3,circuit_1134.jpg,7,0,1
2,4,circuit_1134.jpg,2,2,1
4,3,circuit_1135.jpg,2,4,1
1,4,circuit_1135.jpg,2,3,1
2,4,circuit_1145.jpg,2,1,1
7,3,circuit_1145.jpg,3,3,1
1,4,circuit_1145.jpg,2,2,1
10,3,circuit_1153.jpg,3,9,1
1,4,circuit_1153.jpg,2,0,1
6,3,circuit_1162.jpg,3,10,1
6,4,circuit_1162.jpg,2,7,1
6,4,circuit_1162.jpg,2,6,1
1,3,circuit_1166.jpg,2,4,1
3,3,circuit_1166.jpg,2,7,1
17,3,circuit_1166.jpg,4,13,1
4,4,circuit_1166.jpg,2,8,1
2,3,circuit_1166.jpg,2,10,1
2,4,circuit_1166.jpg,2,5,1
7,4,circuit_1166.jpg,2,0,1
3,4,circuit_1166.jpg,2,6,1
5,4,circuit_1166.jpg,2,14,1
0,,circuit_1166.jpg,2,11,0
2,4,circuit_1166.jpg,3,1,1
1,4,circuit_1172.jpg,2,5,1
0,,circuit_1172.jpg,2,11,0
12,4,circuit_1172.jpg,6,13,1
2,4,circuit_1172.jpg,2,8,1
0,,circuit_1172.jpg,2,12,0
1,4,circuit_1172.jpg,2,7,1
6,3,circuit_1172.jpg,2,0,1
3,3,circuit_1172.jpg,3,2,1
